time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,158,121,216,53,38,1.8,29,140,中度污染
2014-01-02,99,74,147,46,29,1.6,33,42,良
2014-01-03,96,69,142,53,33,1.5,29,53,良
2014-01-04,121,92,164,51,37,1.6,33,91,轻度污染
2014-01-05,116,88,163,53,36,1.7,26,51,轻度污染
2014-01-06,95,66,139,40,28,1.3,60,34,良
2014-01-07,53,16,57,23,27,1.3,57,6,良
2014-01-08,52,23,54,28,35,1.4,55,38,良
2014-01-09,83,54,117,43,52,2.3,42,121,良
2014-01-10,85,56,120,37,47,1.7,46,56,良
2014-01-11,74,42,99,31,39,1.5,48,36,良
2014-01-12,82,50,113,43,45,2.0,35,69,良
2014-01-13,101,75,151,45,52,2.4,50,94,轻度污染
2014-01-14,101,76,150,56,47,2.2,46,79,轻度污染
2014-01-15,377,327,155,46,51,2.3,44,182,严重污染
2014-01-16,110,83,160,55,61,2.2,129,49,轻度污染
2014-01-17,132,100,199,52,53,2.0,53,62,轻度污染
2014-01-18,131,100,191,38,48,2.0,58,68,轻度污染
2014-01-19,141,51,231,27,27,1.3,59,80,轻度污染
2014-01-20,112,84,166,44,50,2.3,43,72,轻度污染
2014-01-21,111,84,133,43,48,2.2,27,140,轻度污染
2014-01-22,136,103,145,54,70,2.8,49,150,轻度污染
2014-01-23,145,111,149,53,67,2.7,54,137,轻度污染
2014-01-24,75,37,100,29,31,1.1,58,41,良
2014-01-25,67,48,80,35,45,1.5,56,41,良
2014-01-26,100,75,112,50,55,2.6,41,111,良
2014-01-27,89,66,104,31,42,2.2,66,94,良
2014-01-28,71,52,76,38,47,1.6,69,74,良
2014-01-29,112,85,133,42,59,2.0,91,114,轻度污染
2014-01-30,96,72,129,44,54,1.9,94,52,良
2014-01-31,151,116,159,55,56,2.3,82,48,中度污染
2014-02-01,106,80,108,50,53,2.1,73,84,轻度污染
2014-02-02,113,85,129,41,47,2.3,66,79,轻度污染
2014-02-03,74,23,98,23,19,0.8,58,98,良
2014-02-04,67,38,83,31,26,1.1,61,127,良
2014-02-05,72,39,93,24,16,0.8,43,139,良
2014-02-06,74,45,98,21,15,0.8,47,135,良
2014-02-07,104,66,158,15,23,1.0,48,140,轻度污染
2014-02-08,89,66,121,23,15,0.7,54,137,良
2014-02-09,46,31,46,15,12,0.6,54,76,优
2014-02-10,79,58,72,19,24,1.1,58,143,良
2014-02-11,88,65,87,21,25,1.1,66,109,良
2014-02-12,68,50,70,15,19,0.7,59,43,良
2014-02-13,98,73,94,21,31,1.4,63,104,良
2014-02-14,117,89,111,31,46,1.5,63,100,轻度污染
2014-02-15,100,75,100,42,45,1.8,52,57,良
2014-02-16,92,68,83,30,37,1.6,54,93,良
2014-02-17,99,74,88,38,45,1.5,58,130,良
2014-02-18,89,66,101,43,53,2.3,66,144,良
2014-02-19,75,55,99,49,70,2.0,60,74,良
2014-02-20,98,73,139,50,73,2.7,48,96,良
2014-02-21,88,66,109,38,63,1.7,65,46,良
2014-02-22,148,113,121,33,55,1.8,96,110,轻度污染
2014-02-23,101,76,125,34,52,2.0,64,58,轻度污染
2014-02-24,86,64,104,26,45,1.5,55,42,良
2014-02-25,97,67,144,24,42,1.6,67,79,良
2014-02-26,210,160,184,15,22,0.6,70,164,重度污染
2014-02-27,93,41,136,25,56,1.4,59,103,良
2014-02-28,92,33,133,20,26,0.7,74,150,良
2014-03-01,93,42,137,30,43,1.2,67,140,良
2014-03-02,84,40,118,23,38,0.8,71,87,良
2014-03-03,87,43,124,18,34,1.0,76,101,良
2014-03-04,86,30,122,21,40,0.8,73,124,良
2014-03-05,99,38,148,25,41,0.8,118,149,良
2014-03-06,87,41,124,35,45,1.0,115,140,良
2014-03-07,77,47,104,25,36,1.0,107,125,良
2014-03-08,97,60,145,29,59,1.4,126,127,良
2014-03-09,106,69,162,41,74,1.9,87,131,轻度污染
2014-03-10,99,64,148,36,61,1.6,60,99,良
2014-03-11,89,33,128,21,26,0.8,69,67,良
2014-03-12,85,27,120,19,18,0.5,65,104,良
2014-03-13,95,47,140,32,57,1.0,74,154,良
2014-03-14,120,64,190,41,75,1.8,71,173,轻度污染
2014-03-15,127,80,205,53,88,2.2,90,156,轻度污染
2014-03-16,111,66,173,41,65,1.7,78,104,轻度污染
2014-03-17,107,47,164,25,43,1.0,70,83,轻度污染
2014-03-18,130,67,211,36,56,1.4,92,101,轻度污染
2014-03-19,146,65,242,29,34,0.6,109,171,轻度污染
2014-03-20,80,28,110,24,33,0.6,56,108,良
2014-03-21,88,37,125,23,47,1.1,76,149,良
2014-03-22,65,30,80,15,31,1.0,48,30,良
2014-03-23,72,42,93,23,48,1.6,57,39,良
2014-03-24,110,60,170,38,55,1.9,47,118,轻度污染
2014-03-25,124,74,197,38,64,1.7,36,124,轻度污染
2014-03-26,132,67,214,34,57,1.7,50,124,轻度污染
2014-03-27,122,64,194,17,30,0.9,41,116,轻度污染
2014-03-28,100,52,149,23,40,1.0,41,117,良
2014-03-29,110,67,169,36,65,1.4,40,127,轻度污染
2014-03-30,70,45,89,20,32,0.9,32,46,良
2014-03-31,83,58,117,24,52,1.8,55,97,良
2014-04-01,89,50,128,37,51,1.5,75,110,良
2014-04-02,62,31,75,31,30,0.8,79,43,良
2014-04-03,68,34,86,31,36,1.0,70,69,良
2014-04-04,88,54,125,38,60,1.4,79,109,良
2014-04-05,81,46,113,31,53,1.5,64,89,良
2014-04-06,73,41,97,24,52,1.1,61,76,良
2014-04-07,109,66,167,38,73,1.7,99,154,轻度污染
2014-04-08,118,65,187,36,68,1.5,95,111,轻度污染
2014-04-09,66,48,77,22,34,1.1,60,27,良
2014-04-10,109,59,169,32,62,1.4,57,120,轻度污染
2014-04-11,78,53,107,18,38,1.0,58,79,良
2014-04-12,77,46,103,23,51,1.4,61,95,良
2014-04-13,76,42,103,28,51,1.3,72,85,良
2014-04-14,69,34,87,23,45,1.3,55,39,良
2014-04-15,59,36,67,28,57,1.6,63,24,良
2014-04-16,46,25,46,20,26,1.1,60,11,优
2014-04-17,64,39,78,25,29,1.0,49,53,良
2014-04-18,42,28,42,18,30,1.0,38,11,优
2014-04-19,45,28,45,17,34,1.1,45,25,优
2014-04-20,57,41,57,20,39,1.2,40,51,良
2014-04-21,45,23,45,15,41,1.2,52,20,优
2014-04-22,81,48,113,27,68,1.9,93,112,良
2014-04-23,95,58,139,29,63,1.7,75,116,良
2014-04-25,255,115,389,19,41,1.2,46,186,重度污染
2014-04-26,243,92,380,35,56,1.7,49,186,重度污染
2014-04-27,180,79,310,36,50,1.6,70,185,中度污染
2014-04-28,131,63,213,31,55,1.2,88,178,轻度污染
2014-04-29,151,80,252,44,81,1.8,104,189,中度污染
2014-04-30,347,134,457,47,72,1.8,101,187,严重污染
2014-05-01,92,46,135,13,22,0.8,66,67,良
2014-05-02,101,44,151,21,52,1.3,88,112,轻度污染
2014-05-03,121,59,191,26,63,1.2,79,181,轻度污染
2014-05-04,92,35,135,24,54,1.2,84,172,良
2014-05-05,82,37,113,37,66,1.6,102,138,良
2014-05-06,108,56,166,42,79,1.8,91,153,轻度污染
2014-05-07,107,58,163,45,73,1.7,110,145,轻度污染
2014-05-08,104,54,158,35,71,1.5,112,118,轻度污染
2014-05-10,71,41,91,11,25,1.1,67,132,良
2014-05-11,74,47,83,29,60,2.0,129,159,良
2014-05-12,80,50,111,45,63,1.7,101,105,良
2014-05-13,92,49,134,23,36,1.1,108,118,良
2014-05-14,70,34,90,17,25,0.8,94,73,良
2014-05-15,67,34,84,34,58,1.4,105,65,良
2014-05-16,83,38,117,42,66,1.5,114,74,良
2014-05-17,78,45,105,42,68,1.2,76,69,良
2014-05-18,108,61,166,33,51,1.3,76,138,轻度污染
2014-05-19,57,31,63,21,45,1.1,100,36,良
2014-05-20,100,61,149,41,73,1.5,109,106,良
2014-05-21,68,35,85,29,37,1.0,81,46,良
2014-05-22,65,31,81,17,31,1.1,77,46,良
2014-05-23,73,44,97,21,33,1.2,76,80,良
2014-05-24,235,118,375,11,34,1.0,83,184,重度污染
2014-05-25,197,120,345,21,44,0.9,92,181,中度污染
2014-05-26,125,75,199,30,56,1.5,138,134,轻度污染
2014-05-27,81,56,112,28,56,1.3,125,46,良
2014-05-28,92,61,134,36,67,1.5,112,84,良
2014-05-29,87,54,125,35,47,1.6,104,56,良
2014-05-30,67,34,83,17,36,1.1,89,45,良
2014-05-31,67,41,84,28,38,1.5,109,52,良
2014-06-01,76,56,101,28,26,1.7,95,97,良
2014-06-02,85,63,86,16,16,1.3,90,134,良
2014-06-03,83,62,90,15,16,1.2,73,121,良
2014-06-04,74,51,97,18,28,1.4,87,87,良
2014-06-05,76,41,101,20,31,1.5,86,83,良
2014-06-06,66,35,81,13,17,1.3,96,72,良
2014-06-07,91,53,131,32,45,1.4,86,117,良
2014-06-08,77,43,103,18,27,0.8,94,78,良
2014-06-09,63,35,76,16,26,0.8,76,65,良
2014-06-10,65,44,79,22,34,1.1,69,87,良
2014-06-11,78,56,107,19,38,1.0,90,103,良
2014-06-12,63,46,74,20,30,1.0,89,42,良
2014-06-13,80,59,72,11,28,1.0,75,65,良
2014-06-14,113,85,126,27,36,1.4,138,100,轻度污染
2014-06-15,80,53,109,26,32,1.5,112,48,良
2014-06-16,73,36,96,24,28,1.0,110,68,良
2014-06-17,91,50,133,34,34,1.3,108,136,良
2014-06-18,72,49,94,16,16,0.8,74,87,良
