time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,81,45,111,28,62,1.5,52,28,良
2014-01-02,145,111,168,69,93,3.4,14,89,轻度污染
2014-01-03,74,47,98,29,52,1.3,56,27,良
2014-01-04,149,114,147,40,75,2.8,14,119,轻度污染
2014-01-05,119,91,117,36,67,2.3,44,52,轻度污染
2014-01-06,182,138,158,46,68,2.4,12,104,中度污染
2014-01-07,145,111,125,34,60,2.0,43,119,轻度污染
2014-01-08,27,15,25,13,21,0.5,53,1,优
2014-01-09,46,27,46,19,35,0.8,53,9,优
2014-01-10,85,63,94,53,71,1.9,19,58,良
2014-01-11,139,106,128,76,90,2.8,11,120,轻度污染
2014-01-12,47,27,47,27,39,0.7,59,10,优
2014-01-13,109,82,107,67,78,2.3,20,110,轻度污染
2014-01-14,108,82,108,68,74,2.4,24,86,轻度污染
2014-01-15,125,95,117,66,84,2.7,18,78,轻度污染
2014-01-16,402,353,384,109,123,4.6,20,184,严重污染
2014-01-17,215,165,194,67,76,2.4,30,134,重度污染
2014-01-18,99,74,81,42,61,1.5,36,43,良
2014-01-19,151,115,186,71,72,2.5,41,87,中度污染
2014-01-20,35,8,35,6,15,0.3,65,1,优
2014-01-21,26,18,25,27,34,0.7,50,2,优
2014-01-22,150,115,138,75,93,2.2,16,166,轻度污染
2014-01-23,271,221,263,118,125,4.0,8,184,重度污染
2014-01-24,197,148,168,79,92,2.8,23,146,中度污染
2014-01-25,42,24,42,24,42,1.0,61,6,优
2014-01-26,72,53,81,45,47,1.0,44,76,良
2014-01-27,118,89,120,57,60,1.8,56,123,轻度污染
2014-01-28,62,40,75,28,38,0.9,56,49,良
2014-01-29,155,118,141,71,75,2.3,32,144,中度污染
2014-01-30,96,72,97,39,46,1.2,68,51,良
2014-01-31,190,143,182,63,48,1.4,38,74,中度污染
2014-02-01,179,135,146,52,57,2.0,12,130,中度污染
2014-02-02,89,66,97,19,31,1.2,73,57,良
2014-02-03,37,5,32,5,8,0.3,73,10,优
2014-02-04,40,27,40,19,21,0.6,68,30,优
2014-02-05,117,88,102,53,49,1.6,42,180,轻度污染
2014-02-06,157,120,130,66,64,2.0,39,185,中度污染
2014-02-07,133,102,67,33,59,1.6,30,162,轻度污染
2014-02-08,90,67,40,23,36,1.2,66,138,良
2014-02-09,33,9,16,16,18,0.5,65,39,优
2014-02-10,35,24,28,26,38,0.7,55,17,优
2014-02-11,129,98,111,58,77,2.1,37,165,轻度污染
2014-02-12,146,111,116,53,77,2.2,47,150,轻度污染
2014-02-13,238,188,173,73,84,2.8,24,182,重度污染
2014-02-14,315,265,295,73,95,3.1,27,186,严重污染
2014-02-15,428,393,449,100,110,3.8,25,186,严重污染
2014-02-16,346,296,204,79,88,3.2,60,181,严重污染
2014-02-17,138,105,52,67,72,2.1,56,151,轻度污染
2014-02-18,95,71,84,38,61,1.1,44,154,良
2014-02-19,87,64,72,34,60,1.2,64,97,良
2014-02-20,214,164,175,45,79,2.2,30,174,重度污染
2014-02-21,309,259,284,78,101,2.7,26,184,严重污染
2014-02-22,313,263,300,102,102,3.4,18,181,严重污染
2014-02-23,261,211,246,130,92,3.6,14,176,重度污染
2014-02-24,310,260,327,133,119,4.7,19,177,严重污染
2014-02-25,403,354,389,78,122,5.2,13,182,严重污染
2014-02-26,366,316,250,81,106,3.7,18,183,严重污染
2014-02-27,35,16,24,13,25,0.5,70,4,优
2014-02-28,103,78,102,33,71,1.5,47,164,轻度污染
2014-03-01,54,38,57,23,48,0.8,70,56,良
2014-03-02,178,135,165,60,93,2.6,40,159,中度污染
2014-03-03,268,218,248,96,102,4.2,18,187,重度污染
2014-03-04,77,57,78,27,40,1.3,74,106,良
2014-03-05,35,20,35,16,35,0.8,66,6,优
2014-03-06,39,16,28,14,29,0.6,77,11,优
2014-03-07,66,48,72,26,53,1.1,65,101,良
2014-03-08,172,131,166,68,92,2.3,38,172,中度污染
2014-03-09,124,94,118,45,68,1.6,72,145,轻度污染
2014-03-10,107,81,101,53,72,1.7,45,112,轻度污染
2014-03-11,205,155,196,76,80,2.4,68,181,重度污染
2014-03-12,41,11,23,9,26,0.4,82,7,优
2014-03-13,62,20,75,14,37,0.6,77,58,良
2014-03-14,64,21,79,13,31,0.5,86,16,良
2014-03-15,124,94,173,43,89,1.5,61,150,轻度污染
2014-03-16,148,113,198,76,72,2.1,97,170,轻度污染
2014-03-17,145,83,241,27,50,1.2,82,137,轻度污染
2014-03-18,87,37,124,17,36,0.6,91,51,良
2014-03-19,72,46,93,17,46,0.8,78,36,良
2014-03-20,44,10,27,5,23,0.4,87,9,优
2014-03-21,57,25,64,11,43,0.6,92,28,良
2014-03-22,82,47,115,16,53,0.8,96,91,良
2014-03-23,177,134,183,44,69,1.6,146,176,中度污染
2014-03-24,270,220,249,53,93,2.0,115,188,重度污染
2014-03-25,250,200,237,43,92,1.6,159,184,重度污染
2014-03-26,319,269,318,43,111,2.0,137,189,严重污染
2014-03-27,299,249,300,34,107,2.4,86,187,重度污染
2014-03-28,168,128,171,25,66,1.7,90,174,中度污染
2014-03-29,63,39,76,7,37,0.6,95,53,良
2014-03-30,64,31,78,8,58,0.5,92,39,良
2014-03-31,176,133,183,35,81,1.8,89,185,中度污染
2014-04-01,137,104,117,17,60,0.9,125,177,轻度污染
2014-04-02,130,99,159,21,58,1.0,135,174,轻度污染
2014-04-03,65,23,80,6,36,0.5,93,58,良
2014-04-04,91,32,132,8,40,0.6,100,118,良
2014-04-05,65,22,80,6,29,0.4,100,32,良
2014-04-06,96,53,143,12,58,0.7,109,142,良
2014-04-07,128,97,176,20,62,0.8,144,174,轻度污染
2014-04-08,224,174,237,38,82,1.5,184,188,重度污染
2014-04-09,159,121,239,19,50,0.9,145,173,中度污染
2014-04-10,251,87,386,27,52,1.3,94,189,重度污染
2014-04-11,81,60,112,17,60,1.0,94,86,良
2014-04-12,131,100,136,25,75,1.4,136,158,轻度污染
2014-04-13,207,157,190,25,71,1.3,194,180,重度污染
2014-04-14,279,229,263,33,79,1.9,188,190,重度污染
2014-04-15,120,91,142,16,61,1.0,130,153,轻度污染
2014-04-16,82,51,113,12,68,0.7,80,113,良
2014-04-17,120,91,124,19,71,1.4,101,151,轻度污染
2014-04-18,183,138,124,17,65,1.5,115,178,中度污染
2014-04-19,83,61,84,15,65,0.8,87,155,良
2014-04-20,81,60,80,7,54,0.6,99,126,良
2014-04-21,67,48,79,7,56,0.6,107,85,良
2014-04-22,86,58,101,9,54,0.6,143,125,良
2014-04-23,151,116,147,21,41,0.9,145,176,中度污染
2014-04-24,151,115,133,19,47,0.9,140,175,中度污染
2014-04-25,171,129,190,20,69,1.0,153,181,中度污染
2014-04-26,66,37,82,4,28,0.4,86,97,良
2014-04-27,73,51,93,6,48,0.6,127,111,良
2014-04-28,84,61,98,8,49,0.7,141,132,良
2014-04-29,118,89,143,17,68,0.9,175,170,轻度污染
2014-04-30,136,103,158,19,67,1.0,200,168,轻度污染
2014-05-01,159,121,186,19,41,0.8,161,176,中度污染
2014-05-02,48,23,46,3,21,0.3,95,10,优
2014-05-03,89,38,127,6,43,0.4,93,120,良
