time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,205,155,227,62,85,2.1,93,176,重度污染
2014-01-02,182,137,185,39,72,1.6,136,133,中度污染
2014-01-03,185,140,187,33,75,1.5,106,119,中度污染
2014-01-04,209,159,218,48,83,1.7,102,168,重度污染
2014-01-05,203,153,217,44,76,1.6,135,138,重度污染
2014-01-06,172,130,173,24,50,1.5,122,97,中度污染
2014-01-07,118,89,120,17,39,1.2,91,96,轻度污染
2014-01-08,86,64,90,42,39,1.6,64,115,良
2014-01-09,111,84,105,32,37,1.3,53,143,轻度污染
2014-01-10,161,123,178,41,57,1.6,44,141,中度污染
2014-01-11,170,129,167,29,55,1.8,19,135,中度污染
2014-01-12,66,48,65,24,33,1.5,35,44,良
2014-01-13,70,51,76,28,37,1.2,64,52,良
2014-01-14,93,70,114,34,58,1.2,100,71,良
2014-01-15,132,101,157,55,66,2.1,128,85,轻度污染
2014-01-16,161,123,191,39,86,1.8,94,105,中度污染
2014-01-17,169,128,196,37,77,1.8,106,92,中度污染
2014-01-18,171,130,202,39,71,1.8,91,93,中度污染
2014-01-19,187,141,227,37,84,1.9,111,109,中度污染
2014-01-20,191,144,219,44,78,1.9,110,151,中度污染
2014-01-21,154,118,191,52,57,1.5,71,173,中度污染
2014-01-22,142,109,197,82,73,1.8,106,159,轻度污染
2014-01-23,138,105,171,35,65,1.2,137,131,轻度污染
2014-01-24,86,64,99,21,40,1.0,116,54,良
2014-01-25,118,90,124,17,57,1.3,82,89,轻度污染
2014-01-26,227,177,219,24,61,1.9,75,170,重度污染
2014-01-27,182,138,171,21,49,1.6,91,155,中度污染
2014-01-28,76,56,73,10,23,1.0,87,79,良
2014-01-29,78,57,76,12,26,1.2,111,60,良
2014-01-30,79,59,84,14,26,1.2,103,30,良
2014-01-31,250,200,300,50,26,1.1,100,122,重度污染
2014-02-01,68,49,62,11,19,0.9,87,42,良
2014-02-02,58,41,55,11,24,0.9,84,23,良
2014-02-03,76,56,79,16,36,1.1,73,103,良
2014-02-04,77,56,77,14,29,1.0,105,141,良
2014-02-05,54,32,48,35,16,1.2,105,104,良
2014-02-06,38,23,31,9,16,1.0,76,63,优
2014-02-07,47,33,43,11,25,1.2,36,76,优
2014-02-08,60,43,58,10,26,1.2,37,73,良
2014-02-09,39,27,33,8,24,1.2,35,53,优
2014-02-10,63,45,61,16,19,1.2,62,122,良
2014-02-11,93,69,86,23,22,1.2,77,118,良
2014-02-12,115,87,111,35,34,1.8,114,125,轻度污染
2014-02-13,70,51,62,13,25,1.1,56,60,良
2014-02-14,91,68,93,21,29,1.0,77,62,良
2014-02-15,132,101,131,21,39,1.2,65,101,轻度污染
2014-02-16,97,73,81,7,44,1.5,28,101,良
2014-02-17,64,46,56,8,42,1.5,17,76,良
2014-02-18,24,17,20,7,27,1.2,37,8,优
2014-02-19,44,25,44,26,30,1.5,78,36,优
2014-02-20,90,67,107,23,45,1.4,59,86,良
2014-02-21,157,120,191,22,90,1.7,43,118,中度污染
2014-02-22,101,75,92,9,51,1.4,29,59,轻度污染
2014-02-23,44,31,34,7,41,1.1,24,2,优
2014-02-24,65,47,73,10,48,1.3,21,31,良
2014-02-25,56,40,61,9,36,1.0,38,40,良
2014-02-26,52,31,53,25,34,1.6,85,17,良
2014-02-27,82,61,96,12,44,1.2,32,81,良
2014-02-28,62,44,64,10,30,0.7,44,84,良
2014-03-01,58,37,65,11,31,0.8,59,75,良
2014-03-02,60,42,70,13,33,1.1,35,51,良
2014-03-03,70,51,80,17,38,1.3,20,68,良
2014-03-04,54,38,57,11,37,1.2,28,36,良
2014-03-05,79,58,91,31,45,1.6,54,109,良
2014-03-06,63,45,56,13,39,1.6,21,99,良
2014-03-07,33,23,25,10,35,1.5,15,12,优
2014-03-08,33,23,30,9,36,1.4,15,11,优
2014-03-09,52,32,55,13,34,1.0,40,38,良
2014-03-10,45,31,43,13,38,1.2,34,16,优
2014-03-11,36,24,36,9,37,1.3,15,6,优
2014-03-12,87,65,108,32,56,2.6,40,107,良
2014-03-13,78,57,92,15,40,1.5,59,111,良
2014-03-14,116,88,143,22,48,1.3,61,167,轻度污染
2014-03-15,98,73,98,12,42,1.1,49,94,良
2014-03-16,68,49,69,11,47,1.3,18,10,良
2014-03-17,54,38,53,8,45,1.6,9,4,良
2014-03-18,70,51,83,11,35,1.4,29,32,良
2014-03-19,62,44,73,31,34,1.5,28,25,良
2014-03-20,73,53,95,12,40,1.2,60,81,良
2014-03-21,65,47,78,12,30,0.9,66,63,良
2014-03-22,87,65,91,13,43,1.1,39,105,良
2014-03-23,95,71,91,14,45,1.4,25,100,良
2014-03-24,114,86,108,14,54,1.6,23,126,轻度污染
2014-03-25,71,52,85,11,42,1.1,61,31,良
2014-03-26,78,54,106,35,48,1.7,92,32,良
2014-03-27,89,59,127,14,42,1.1,77,57,良
2014-03-28,60,37,70,11,32,1.0,39,42,良
2014-03-29,69,42,87,13,37,1.0,53,67,良
2014-03-30,68,47,85,10,31,1.1,61,43,良
2014-03-31,59,33,67,11,36,1.0,84,41,良
2014-04-01,76,51,102,16,34,1.0,63,78,良
2014-04-02,82,61,95,32,40,1.7,91,94,良
2014-04-03,63,46,74,14,38,1.2,70,49,良
2014-04-04,94,70,116,22,45,1.2,134,127,良
2014-04-05,80,59,78,12,31,1.1,107,86,良
2014-04-06,61,37,58,10,36,1.0,113,33,良
2014-04-07,52,35,54,9,35,1.1,63,13,良
2014-04-08,52,31,54,9,33,1.0,63,8,良
2014-04-09,54,34,58,27,36,1.6,99,9,良
2014-04-10,53,33,55,10,29,1.0,37,13,良
2014-04-11,52,29,53,11,24,1.0,55,15,良
2014-04-12,58,31,65,8,28,0.9,51,42,良
2014-04-13,64,36,78,10,32,1.0,62,47,良
2014-04-14,75,51,100,10,35,1.2,66,49,良
2014-04-15,55,33,61,10,23,0.9,51,15,良
2014-04-16,51,29,52,30,25,1.3,70,17,良
2014-04-17,55,28,60,8,24,1.1,65,30,良
2014-04-18,54,31,58,10,25,1.0,59,29,良
2014-04-19,59,34,69,10,28,1.1,46,77,良
2014-04-20,64,40,78,9,35,1.1,31,79,良
2014-04-21,54,29,58,10,27,1.1,46,41,良
2014-04-22,55,28,60,9,33,1.1,32,37,良
2014-04-23,59,33,68,25,37,1.8,70,35,良
2014-04-24,58,33,66,7,28,1.1,38,32,良
2014-04-25,57,32,64,6,28,1.0,52,49,良
2014-04-26,57,32,64,7,28,1.1,82,74,良
2014-04-27,41,23,41,9,26,1.3,60,16,优
2014-04-28,61,37,71,16,33,1.3,84,52,良
2014-04-29,81,60,112,19,41,1.2,68,65,良
2014-04-30,64,44,78,44,33,1.3,92,20,良
2014-05-01,81,58,98,18,37,1.1,137,42,良
2014-05-02,83,62,101,17,41,1.2,107,74,良
2014-05-03,64,45,78,10,35,1.1,79,40,良
2014-05-04,52,29,53,9,26,1.0,75,31,良
2014-05-05,35,19,35,10,28,0.9,61,16,优
2014-05-06,67,46,84,19,39,1.0,66,54,良
2014-05-07,95,71,102,32,43,1.6,98,111,良
2014-05-08,57,40,64,10,35,1.2,56,36,良
2014-05-09,54,28,58,8,32,1.1,92,40,良
2014-05-10,55,25,60,9,23,1.0,100,70,良
2014-05-11,54,26,58,11,31,1.1,78,86,良
2014-05-12,71,34,72,22,40,1.3,125,73,良
2014-05-13,59,34,68,11,29,1.1,101,30,良
2014-05-14,88,24,59,32,24,1.3,145,112,良
2014-05-15,60,33,70,12,33,1.1,80,51,良
2014-05-16,71,47,91,14,34,1.3,87,51,良
2014-05-17,55,30,60,9,26,1.2,77,30,良
2014-05-18,49,22,49,9,23,1.1,73,24,优
2014-05-19,55,27,60,11,30,1.2,98,33,良
2014-05-20,60,40,71,10,27,1.1,111,40,良
2014-05-21,94,21,47,28,22,1.3,153,78,良
2014-05-22,55,22,60,9,27,0.9,90,32,良
2014-05-23,53,22,55,9,23,0.9,79,39,良
2014-05-24,52,22,54,9,20,0.9,83,49,良
2014-05-25,46,20,46,9,18,0.8,84,25,优
2014-05-26,59,21,57,12,28,0.9,111,38,良
2014-05-27,59,37,68,12,29,1.0,66,23,良
2014-05-28,61,35,73,18,29,1.0,107,33,良
2014-05-29,46,24,46,9,28,0.9,85,15,优
2014-05-30,47,24,47,8,20,0.9,91,20,优
2014-05-31,43,21,43,8,17,0.8,74,15,优
2014-06-01,44,20,44,9,19,0.8,69,21,优
2014-06-02,39,17,37,8,14,0.8,78,13,优
2014-06-03,44,20,41,8,14,0.8,87,20,优
2014-06-04,50,20,50,13,26,1.0,97,27,优
2014-06-05,44,22,44,9,22,0.8,67,22,优
2014-06-06,29,18,29,10,32,0.9,51,6,优
2014-06-07,63,33,58,12,28,1.1,115,73,良
2014-06-08,74,54,98,17,32,1.2,126,71,良
2014-06-09,58,27,47,10,26,1.0,109,53,良
2014-06-10,42,25,42,11,25,1.0,76,20,优
2014-06-11,57,41,60,13,21,1.1,66,43,良
2014-06-12,75,55,91,22,31,1.1,89,62,良
2014-06-13,104,78,129,24,42,1.2,148,96,轻度污染
2014-06-14,121,74,135,20,44,1.3,183,114,轻度污染
2014-06-15,125,55,104,14,35,1.0,187,117,轻度污染
2014-06-16,73,28,57,12,24,0.8,128,69,良
2014-06-17,61,19,46,13,25,0.8,113,67,良
2014-06-18,46,20,46,15,34,1.0,75,30,优
2014-06-19,44,16,36,11,19,0.9,87,36,优
2014-06-20,52,16,43,11,21,0.8,102,70,良
2014-06-21,49,24,49,13,28,0.9,80,64,优
2014-06-22,42,22,42,12,23,1.1,78,36,优
2014-06-23,52,28,53,11,24,1.2,70,46,良
2014-06-24,44,25,44,12,25,1.0,66,39,优
2014-06-25,36,18,36,11,18,0.8,55,22,优
2014-06-26,40,16,40,10,17,0.7,66,30,优
2014-06-27,42,17,42,10,22,0.7,81,31,优
2014-06-28,58,28,66,13,28,0.8,90,62,良
2014-06-29,53,26,57,13,28,0.8,90,46,良
2014-06-30,51,22,51,13,28,0.7,60,38,良
2014-07-01,27,12,25,9,19,0.7,53,8,优
2014-07-02,32,14,32,11,23,0.8,57,7,优
2014-07-03,35,14,35,10,17,0.8,54,13,优
2014-07-04,40,16,40,11,20,0.8,62,15,优
2014-07-05,36,17,36,11,23,0.8,64,13,优
2014-07-06,35,16,35,11,26,0.8,55,7,优
2014-07-07,43,19,43,12,30,0.9,83,7,优
2014-07-08,55,28,56,14,28,0.8,106,34,良
2014-07-09,50,22,50,13,25,0.8,82,41,优
2014-07-10,56,22,51,11,23,0.8,107,57,良
2014-07-11,44,18,44,10,23,0.8,58,33,优
2014-07-12,30,13,30,9,19,0.7,55,17,优
2014-07-13,41,17,41,11,27,0.8,56,39,优
2014-07-14,51,22,52,11,30,0.9,35,54,良
2014-07-15,31,14,31,9,19,0.8,52,21,优
2014-07-16,36,16,36,10,20,0.8,57,37,优
2014-07-17,36,17,36,10,18,0.8,60,18,优
2014-07-18,53,23,57,15,25,0.8,81,55,良
2014-07-19,30,9,21,7,9,0.7,59,16,优
2014-07-20,19,8,19,8,14,0.8,34,1,优
2014-07-21,38,16,38,11,23,0.9,50,22,优
2014-07-22,60,34,70,19,31,0.9,87,75,良
2014-07-23,69,41,87,22,40,1.0,106,120,良
2014-07-24,67,38,83,17,36,0.9,100,113,良
2014-07-25,63,38,75,12,33,0.9,83,89,良
2014-07-26,42,22,42,12,32,0.9,55,21,优
2014-07-27,48,25,48,12,29,0.9,72,27,优
2014-07-28,34,20,34,12,27,0.9,40,9,优
2014-07-29,52,23,54,14,27,0.9,56,26,良
2014-07-30,54,24,58,11,25,0.8,82,38,良
2014-07-31,69,32,88,20,32,0.8,84,98,良
2014-08-01,81,41,112,19,41,1.0,127,143,良
2014-08-02,87,41,102,16,37,0.9,144,134,良
2014-08-03,90,34,70,15,31,0.8,148,119,良
2014-08-04,60,27,70,13,27,0.8,101,52,良
2014-08-05,56,23,63,12,31,0.8,83,71,良
2014-08-06,52,23,54,12,26,0.8,95,60,良
2014-08-07,44,17,44,11,23,0.7,76,30,优
2014-08-08,47,18,45,10,23,0.8,94,48,优
2014-08-09,44,22,44,10,20,0.8,76,44,优
2014-08-10,38,15,38,9,17,0.7,75,18,优
2014-08-11,44,15,44,9,22,0.7,52,30,优
2014-08-12,35,15,35,8,25,0.8,36,17,优
2014-08-13,29,15,29,10,23,0.9,39,15,优
2014-08-14,27,11,18,9,28,0.9,54,11,优
2014-08-15,36,20,36,12,30,0.9,58,12,优
2014-08-16,43,19,43,8,27,0.8,64,20,优
2014-08-17,42,15,42,8,21,0.7,50,30,优
2014-08-18,41,15,41,8,21,0.7,46,33,优
2014-08-19,32,16,32,8,25,0.7,37,20,优
2014-08-20,38,15,31,10,23,0.8,75,35,优
2014-08-21,52,28,55,10,25,0.8,88,29,良
2014-08-22,44,18,44,8,25,0.7,79,21,优
2014-08-23,53,19,55,9,26,0.7,72,39,良
2014-08-24,50,20,50,8,27,0.7,57,51,优
2014-08-25,53,21,56,9,28,0.7,71,47,良
2014-08-26,62,27,73,14,30,0.7,64,60,良
2014-08-27,59,24,67,13,29,0.7,64,71,良
2014-08-28,53,19,57,14,26,0.7,56,59,良
2014-08-29,35,12,35,9,24,0.7,46,16,优
2014-08-30,67,31,83,19,36,0.8,116,95,良
2014-08-31,61,29,66,10,30,0.7,113,98,良
2014-09-01,36,16,36,10,25,0.7,62,21,优
2014-09-02,39,15,39,11,27,0.7,49,28,优
2014-09-03,47,20,47,9,29,0.8,85,63,优
2014-09-04,54,26,58,12,29,0.9,80,26,良
2014-09-05,50,22,51,8,25,0.7,73,23,优
2014-09-06,65,32,72,9,35,0.8,118,42,良
2014-09-07,94,47,99,18,41,1.0,153,121,良
2014-09-08,68,45,86,12,37,1.0,81,76,良
2014-09-09,33,21,33,8,28,0.8,50,12,优
2014-09-10,43,23,43,9,23,0.9,68,22,优
2014-09-11,49,24,49,10,24,0.9,88,43,优
2014-09-12,46,23,46,11,22,0.9,91,65,优
2014-09-13,60,35,70,12,32,1.0,94,116,良
2014-09-14,47,23,47,9,25,0.9,65,62,优
2014-09-15,56,35,62,14,26,1.0,94,116,良
2014-09-16,44,24,44,9,12,0.8,67,66,优
2014-09-17,27,9,15,6,12,0.6,53,17,优
2014-09-18,27,12,27,9,19,0.7,47,11,优
2014-09-19,52,27,54,10,27,0.9,83,57,良
2014-09-20,30,18,30,10,22,0.9,55,6,优
2014-09-21,55,28,59,16,31,0.9,101,54,良
2014-09-22,73,45,90,22,42,0.9,128,110,良
2014-09-23,80,59,110,25,48,0.9,133,140,良
2014-09-24,92,68,120,22,48,1.0,133,158,良
2014-09-25,108,81,145,22,50,1.1,141,152,轻度污染
2014-09-26,89,66,108,15,39,1.0,129,96,良
2014-09-27,68,45,70,11,25,0.8,122,64,良
2014-09-28,55,36,60,10,24,0.8,94,54,良
2014-09-29,49,28,49,9,22,0.7,83,40,优
2014-09-30,56,32,61,12,28,0.8,104,115,良
2014-10-01,69,50,73,15,23,1.0,102,116,良
2014-10-02,84,62,86,14,29,1.0,137,125,良
2014-10-03,54,38,59,16,28,0.9,88,36,良
2014-10-04,76,55,83,13,33,0.9,125,113,良
2014-10-05,64,46,64,10,21,0.8,97,57,良
2014-10-06,88,63,99,20,31,0.9,145,135,良
2014-10-07,110,83,128,25,47,1.1,160,138,轻度污染
2014-10-08,126,96,143,22,49,1.1,173,144,轻度污染
2014-10-09,124,94,140,30,54,1.2,170,135,轻度污染
2014-10-10,116,88,129,26,53,1.1,158,135,轻度污染
2014-10-11,120,91,136,25,55,1.1,156,146,轻度污染
2014-10-12,107,80,122,25,51,1.1,154,169,轻度污染
2014-10-13,125,95,135,17,36,0.9,151,181,轻度污染
2014-10-14,133,102,150,18,38,1.0,154,172,轻度污染
2014-10-15,162,123,192,27,59,1.1,174,180,中度污染
2014-10-16,167,127,222,21,69,1.2,163,178,中度污染
2014-10-17,142,109,187,20,64,1.2,156,158,轻度污染
2014-10-18,107,81,144,16,56,1.1,148,91,轻度污染
2014-10-19,74,54,98,13,46,0.9,108,69,良
2014-10-20,72,47,94,13,50,1.0,56,65,良
2014-10-21,67,47,85,10,38,1.0,110,59,良
2014-10-22,56,36,57,13,33,0.9,107,15,良
2014-10-23,83,61,96,24,50,1.1,117,69,良
2014-10-24,109,82,136,27,62,1.2,129,123,轻度污染
2014-10-25,116,88,146,21,62,1.3,108,144,轻度污染
2014-10-26,91,68,109,16,45,1.1,117,80,良
2014-10-27,94,69,138,17,56,1.1,115,125,良
2014-10-28,71,52,92,13,33,0.9,111,81,良
2014-10-29,59,36,67,9,33,0.8,60,67,良
2014-10-30,47,26,47,8,23,0.7,55,41,优
2014-10-31,41,25,41,7,24,0.7,50,21,优
2014-11-01,52,28,54,9,29,0.8,54,39,良
2014-11-02,35,24,35,9,23,1.0,52,13,优
2014-11-03,45,26,45,15,29,0.7,61,13,优
2014-11-04,72,50,95,22,55,0.9,77,54,良
2014-11-05,108,81,125,14,62,1.2,42,120,轻度污染
2014-11-06,62,44,54,11,33,1.0,39,42,良
2014-11-07,37,26,28,9,31,0.9,41,12,优
2014-11-08,32,13,22,10,25,0.8,63,14,优
2014-11-09,29,20,26,9,31,0.9,47,9,优
2014-11-10,22,16,20,7,35,1.2,25,4,优
2014-11-11,26,18,26,10,29,1.1,19,3,优
2014-11-12,42,23,42,15,31,1.0,34,33,优
2014-11-13,72,49,94,21,36,0.9,79,114,良
2014-11-14,93,69,134,25,55,0.9,109,117,良
2014-11-15,121,92,165,21,66,1.1,51,141,轻度污染
2014-11-16,90,67,96,16,35,0.9,62,79,良
2014-11-17,71,52,89,15,31,0.8,58,41,良
2014-11-18,66,45,81,24,30,0.8,63,23,良
2014-11-19,101,76,138,30,49,1.0,85,88,轻度污染
2014-11-20,134,102,175,27,65,1.2,99,126,轻度污染
2014-11-21,147,112,170,16,78,1.3,84,118,轻度污染
2014-11-22,135,103,165,18,61,1.2,104,99,轻度污染
2014-11-23,86,64,107,12,52,0.9,76,81,良
2014-11-24,61,35,71,11,37,0.8,74,76,良
2014-11-25,61,38,71,11,33,0.9,71,69,良
2014-11-26,75,52,99,16,44,1.3,63,78,良
2014-11-27,74,54,94,12,41,1.0,82,100,良
2014-11-28,58,34,65,11,32,0.8,78,52,良
2014-11-29,52,28,54,12,27,0.7,68,30,良
2014-11-30,63,34,75,11,33,0.8,66,98,良
2014-12-01,59,36,68,16,24,1.2,69,51,良
2014-12-02,75,55,73,20,24,1.1,67,132,良
