time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,141,108,141,102,55,1.3,31,113,轻度污染
2014-01-02,131,100,140,123,68,1.4,25,78,轻度污染
2014-01-03,191,144,197,137,73,1.7,28,126,中度污染
2014-01-04,247,197,246,146,91,2.2,19,177,重度污染
2014-01-05,412,369,450,184,123,3.2,22,187,严重污染
2014-01-06,217,167,216,173,85,1.4,26,144,重度污染
2014-01-07,150,115,148,104,62,1.4,28,123,轻度污染
2014-01-08,77,56,71,82,47,1.0,33,98,良
2014-01-09,90,67,89,94,54,1.0,32,127,良
2014-01-10,119,90,127,125,61,1.2,29,116,轻度污染
2014-01-11,114,86,124,111,59,1.2,23,92,轻度污染
2014-01-12,80,59,81,91,45,0.9,34,65,良
2014-01-13,195,147,162,141,70,1.4,29,171,中度污染
2014-01-14,207,157,209,178,85,1.6,22,154,重度污染
2014-01-15,200,150,200,168,78,1.4,30,120,中度污染
2014-01-16,157,120,171,127,66,1.4,28,101,中度污染
2014-01-17,216,166,201,158,84,1.6,28,136,重度污染
2014-01-18,223,173,232,155,88,1.9,29,124,重度污染
2014-01-19,173,131,180,163,78,1.4,19,97,中度污染
2014-01-20,130,99,131,138,70,1.2,26,97,轻度污染
2014-01-21,193,145,192,107,72,1.7,24,186,中度污染
2014-01-22,215,165,225,214,94,1.6,35,183,重度污染
2014-01-23,126,96,144,178,70,1.2,45,113,轻度污染
2014-01-24,162,123,165,98,68,1.7,46,121,中度污染
2014-01-25,181,137,189,85,82,1.7,36,137,中度污染
2014-01-26,113,86,125,96,60,1.1,49,126,轻度污染
2014-01-27,66,45,83,80,47,0.8,47,53,良
2014-01-28,54,36,59,58,37,0.8,52,31,良
2014-01-29,76,56,98,99,54,1.0,51,57,良
2014-01-30,74,54,72,64,34,1.0,55,26,良
2014-01-31,220,170,205,118,54,1.3,55,97,重度污染
2014-02-01,147,113,163,133,65,1.2,49,115,轻度污染
2014-02-02,78,56,106,68,37,0.9,57,45,良
2014-02-03,46,28,46,54,31,0.8,57,23,优
2014-02-04,75,55,79,78,42,1.0,50,139,良
2014-02-05,124,94,134,91,60,1.5,52,183,轻度污染
2014-02-06,123,93,136,96,55,1.2,55,173,轻度污染
2014-02-07,198,148,213,198,108,1.6,40,176,中度污染
2014-02-08,142,108,146,133,73,1.5,48,171,轻度污染
2014-02-09,73,54,85,101,52,1.0,49,130,良
2014-02-10,134,102,154,125,73,1.6,48,185,轻度污染
2014-02-11,148,114,173,172,87,1.6,42,177,轻度污染
2014-02-12,149,114,166,121,84,1.6,44,153,轻度污染
2014-02-13,133,102,150,118,77,1.6,49,137,轻度污染
2014-02-14,128,97,149,125,72,1.3,50,111,轻度污染
2014-02-15,209,159,200,107,74,1.7,54,150,重度污染
2014-02-16,207,157,202,119,90,1.5,57,160,重度污染
2014-02-17,210,160,210,99,85,1.9,56,178,重度污染
2014-02-18,152,116,173,99,79,1.7,65,184,中度污染
2014-02-19,164,125,172,105,88,1.6,55,175,中度污染
2014-02-20,195,146,218,137,93,2.2,36,165,中度污染
2014-02-21,125,95,149,168,102,1.4,40,77,轻度污染
2014-02-22,187,141,190,118,103,1.7,66,150,中度污染
2014-02-23,220,170,235,133,100,2.1,77,156,重度污染
2014-02-24,195,146,200,145,85,1.6,76,141,中度污染
2014-02-25,308,258,337,152,99,2.4,48,175,严重污染
2014-02-26,213,163,235,138,65,1.3,77,167,重度污染
2014-02-27,74,54,80,47,39,1.1,62,72,良
2014-02-28,49,25,49,55,31,0.8,59,41,优
2014-03-01,69,50,87,103,48,0.9,48,105,良
2014-03-02,62,44,74,85,42,0.8,59,54,良
2014-03-03,64,46,77,78,43,0.8,58,56,良
2014-03-04,65,47,79,72,47,0.9,60,71,良
2014-03-05,59,36,69,57,44,0.7,52,54,良
2014-03-06,58,35,65,64,47,0.7,51,79,良
2014-03-07,69,48,87,64,55,0.9,52,107,良
2014-03-08,57,32,64,63,47,0.7,53,59,良
2014-03-09,50,25,50,57,43,0.7,48,32,优
2014-03-10,56,33,63,72,53,0.8,54,27,良
2014-03-11,70,49,91,95,66,0.8,60,30,良
2014-03-12,77,56,90,74,70,1.0,55,90,良
2014-03-13,60,41,69,70,65,0.9,55,48,良
2014-03-14,85,63,112,81,70,1.0,72,87,良
2014-03-15,86,64,104,88,61,0.7,62,52,良
2014-03-16,64,47,77,72,56,0.7,64,6,良
2014-03-17,71,52,82,77,76,0.8,44,17,良
2014-03-18,51,31,53,60,55,0.8,53,7,良
2014-03-19,77,57,105,77,76,1.2,39,48,良
2014-03-20,43,22,43,48,49,0.7,51,6,优
2014-03-21,55,33,61,59,60,0.8,61,21,良
2014-03-22,68,48,86,64,78,1.0,61,36,良
2014-03-23,90,67,110,70,84,1.1,76,84,良
2014-03-24,132,101,159,80,76,1.2,85,153,轻度污染
2014-03-25,213,163,249,76,102,1.7,78,172,重度污染
2014-03-26,183,138,230,73,103,1.8,88,152,中度污染
2014-03-27,148,114,166,61,86,1.1,84,139,轻度污染
2014-03-28,108,82,121,50,55,0.9,65,133,轻度污染
2014-03-29,59,28,68,42,57,0.7,73,40,良
2014-03-30,71,44,92,39,57,0.7,85,47,良
2014-03-31,77,53,103,36,59,0.9,84,70,良
2014-04-01,63,41,76,45,49,0.6,68,44,良
2014-04-02,53,23,57,32,33,0.8,70,25,良
2014-04-03,50,23,50,30,37,0.6,60,22,优
2014-04-04,63,38,77,39,46,0.7,66,21,良
2014-04-05,53,21,56,29,35,0.7,63,13,良
2014-04-06,64,39,79,45,51,0.6,80,49,良
2014-04-07,87,64,117,38,74,1.0,91,102,良
2014-04-08,134,102,168,47,78,1.0,106,136,轻度污染
2014-04-09,68,37,86,28,46,0.7,76,32,良
2014-04-10,65,43,80,29,56,0.7,82,34,良
2014-04-11,90,61,130,36,79,0.9,92,113,良
2014-04-12,110,83,166,48,101,1.0,94,141,轻度污染
2014-04-13,134,102,191,37,100,1.2,118,159,轻度污染
2014-04-14,127,68,205,33,49,0.8,126,149,轻度污染
2014-04-15,56,22,61,21,38,0.6,73,19,良
2014-04-16,63,35,75,27,50,0.7,77,48,良
2014-04-17,59,29,67,29,51,0.6,75,35,良
2014-04-18,60,34,69,26,49,0.6,90,44,良
2014-04-19,98,67,146,39,86,0.8,89,181,良
2014-04-20,68,48,85,22,45,0.6,74,91,良
2014-04-21,71,52,72,19,53,0.7,103,95,良
2014-04-22,70,51,89,21,64,0.7,93,80,良
2014-04-23,77,45,104,27,58,0.6,108,71,良
2014-04-24,76,53,101,29,32,0.6,131,64,良
2014-04-25,84,50,117,26,36,0.7,136,112,良
2014-04-26,111,44,173,15,32,0.6,112,172,轻度污染
2014-04-27,64,24,78,13,38,0.6,66,78,良
2014-04-28,76,51,103,20,77,0.8,95,108,良
2014-04-29,91,61,133,21,77,0.9,105,109,良
2014-04-30,80,45,109,22,64,0.6,132,48,良
2014-05-01,91,52,132,22,38,0.7,133,64,良
2014-05-02,70,36,90,7,31,0.6,76,50,良
2014-05-03,49,34,49,11,34,0.5,74,10,优
2014-05-04,41,25,41,9,39,0.6,51,7,优
2014-05-05,24,12,16,7,23,0.5,47,2,优
2014-05-06,31,20,31,12,33,0.5,40,2,优
2014-05-07,35,19,33,14,37,0.6,70,6,优
