time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,131,91,212,123,75,2.3,28,95,轻度污染
2014-01-02,146,112,224,133,96,3.0,10,91,轻度污染
2014-01-03,109,83,148,108,71,2.3,25,65,轻度污染
2014-01-04,69,50,73,120,65,1.4,22,23,良
2014-01-05,121,92,143,109,67,2.6,31,54,轻度污染
2014-01-06,138,106,142,86,69,2.2,19,70,轻度污染
2014-01-07,137,105,147,105,67,2.2,24,113,轻度污染
2014-01-08,54,34,59,59,44,1.2,45,44,良
2014-01-09,70,47,91,80,57,1.4,36,82,良
2014-01-10,203,153,242,150,86,2.5,18,162,重度污染
2014-01-11,357,307,431,146,111,4.3,13,179,严重污染
2014-01-12,130,99,151,78,62,1.9,48,120,轻度污染
2014-01-13,113,85,137,133,75,2.3,21,115,轻度污染
2014-01-14,148,114,191,136,84,3.2,14,121,轻度污染
2014-01-15,319,269,392,176,113,4.8,13,171,严重污染
2014-01-16,283,233,302,107,85,3.8,8,165,重度污染
2014-01-17,129,98,127,113,64,2.3,16,57,轻度污染
2014-01-18,246,196,269,142,88,4.3,24,143,重度污染
2014-01-19,247,197,267,163,93,3.6,14,138,重度污染
2014-01-20,67,18,84,43,28,1.2,52,24,良
2014-01-21,26,18,24,55,35,1.4,34,1,优
2014-01-22,140,107,185,151,80,2.4,24,156,轻度污染
2014-01-23,162,123,204,143,90,2.4,21,151,中度污染
2014-01-24,245,195,300,176,114,4.7,8,169,重度污染
2014-01-25,91,68,106,101,61,1.8,38,65,良
2014-01-26,57,35,65,71,56,1.5,39,28,良
2014-01-27,137,105,178,100,73,2.3,25,139,轻度污染
2014-01-28,78,50,106,70,49,1.6,49,85,良
2014-01-29,106,80,145,120,60,1.8,28,103,轻度污染
2014-01-30,146,112,186,89,48,2.4,54,85,轻度污染
2014-01-31,158,120,206,125,44,3.2,38,54,中度污染
2014-02-01,73,53,65,44,34,1.6,21,48,良
2014-02-02,95,71,121,54,33,1.7,56,65,良
2014-02-03,54,12,57,37,17,0.9,63,47,良
2014-02-04,45,20,45,62,24,1.1,57,48,优
2014-02-05,54,34,59,96,40,1.4,54,102,良
2014-02-06,58,41,65,87,45,1.6,48,115,良
2014-02-07,68,49,70,84,51,1.9,32,106,良
2014-02-08,89,66,93,87,48,2.3,46,135,良
2014-02-09,31,14,23,46,24,1.3,62,32,优
2014-02-10,52,34,54,104,49,1.8,49,88,良
2014-02-11,84,62,85,102,59,2.0,58,98,良
2014-02-12,192,144,196,159,85,3.5,27,171,中度污染
2014-02-13,130,99,129,83,57,2.1,69,135,轻度污染
2014-02-14,228,178,237,202,80,2.7,45,170,重度污染
2014-02-15,246,196,249,115,72,2.5,52,167,重度污染
2014-02-16,219,169,230,99,71,3.1,42,164,重度污染
2014-02-17,62,43,74,72,46,1.6,59,75,良
2014-02-18,60,39,70,72,53,1.6,44,82,良
2014-02-19,78,57,91,100,63,1.7,42,85,良
2014-02-20,116,88,111,96,62,1.5,41,113,轻度污染
2014-02-21,236,186,276,200,118,3.3,14,174,重度污染
2014-02-22,251,201,265,119,96,2.9,29,174,重度污染
2014-02-23,191,144,170,67,66,1.9,19,135,中度污染
2014-02-24,237,187,259,185,97,3.0,16,157,重度污染
2014-02-25,289,239,329,213,126,4.1,20,169,重度污染
2014-02-26,252,202,276,109,94,3.0,58,175,重度污染
2014-02-27,54,38,45,39,37,1.1,66,32,良
2014-02-28,58,29,66,67,53,1.0,51,72,良
2014-03-01,87,65,112,71,66,1.8,56,134,良
2014-03-02,208,158,236,119,107,3.1,29,175,重度污染
2014-03-03,187,141,200,87,76,2.5,26,173,中度污染
2014-03-04,125,95,137,75,59,2.5,63,166,轻度污染
2014-03-05,79,58,88,64,52,1.7,63,108,良
2014-03-06,57,35,64,59,48,1.6,62,78,良
2014-03-07,84,62,108,114,69,2.0,46,134,良
2014-03-08,193,145,209,118,87,2.7,41,176,中度污染
2014-03-09,105,79,119,81,54,2.0,64,129,轻度污染
2014-03-10,122,93,152,112,83,2.5,46,125,轻度污染
2014-03-11,244,194,247,98,88,2.5,75,185,重度污染
2014-03-12,77,50,103,49,41,1.1,67,91,良
2014-03-13,86,64,100,78,61,1.6,62,132,良
2014-03-14,83,40,115,39,44,1.0,67,79,良
2014-03-15,173,131,235,101,90,2.3,52,187,中度污染
2014-03-16,195,146,213,79,77,2.1,56,185,中度污染
2014-03-17,169,129,268,73,67,2.0,52,157,中度污染
2014-03-18,122,66,194,52,57,1.4,66,93,轻度污染
2014-03-19,96,72,108,48,72,1.4,52,103,良
2014-03-20,58,37,66,27,45,1.0,69,38,良
2014-03-21,123,93,136,59,74,1.9,74,182,轻度污染
2014-03-22,121,92,182,46,60,1.4,73,165,轻度污染
2014-03-23,212,162,233,79,90,2.5,94,184,重度污染
2014-03-24,184,139,174,65,70,1.6,105,179,中度污染
2014-03-25,229,179,235,68,90,1.8,95,179,重度污染
2014-03-26,252,202,253,59,82,2.0,106,178,重度污染
2014-03-27,219,169,242,49,87,2.4,72,175,重度污染
2014-03-28,235,185,272,53,107,3.2,32,185,重度污染
2014-03-29,171,130,158,36,61,2.7,81,165,中度污染
2014-03-30,149,114,166,31,65,1.8,90,176,轻度污染
2014-03-31,192,144,223,48,76,1.7,97,187,中度污染
2014-04-01,148,114,147,39,58,1.3,117,182,轻度污染
2014-04-02,127,97,168,35,54,1.1,86,173,轻度污染
2014-04-03,83,33,117,13,31,0.7,78,115,良
2014-04-04,95,47,140,32,41,0.9,82,131,良
2014-04-05,104,33,159,16,35,0.8,80,148,轻度污染
2014-04-06,115,68,180,40,45,1.1,95,173,轻度污染
2014-04-07,118,90,166,41,49,1.3,99,170,轻度污染
2014-04-08,189,142,228,53,75,1.8,138,177,中度污染
2014-04-09,168,127,218,33,42,1.6,124,178,中度污染
2014-04-10,158,68,266,30,47,1.4,84,176,中度污染
2014-04-11,96,72,123,57,87,2.2,40,123,良
2014-04-12,114,86,159,43,91,1.7,72,146,轻度污染
2014-04-13,199,149,195,44,72,1.7,120,176,中度污染
2014-04-14,171,129,175,30,51,1.4,123,176,中度污染
2014-04-15,102,77,153,38,63,1.1,91,128,轻度污染
2014-04-16,115,72,181,52,77,1.7,76,175,轻度污染
2014-04-17,145,111,166,40,80,2.3,50,168,轻度污染
2014-04-18,118,90,116,32,55,1.5,78,158,轻度污染
2014-04-19,82,61,111,28,70,1.4,68,154,良
2014-04-20,104,78,127,21,67,1.5,87,161,轻度污染
2014-04-21,152,116,177,30,57,1.4,99,176,中度污染
2014-04-22,123,93,140,37,45,1.5,113,160,轻度污染
2014-04-23,136,104,150,28,32,1.1,107,172,轻度污染
2014-04-24,120,91,131,45,48,1.2,147,166,轻度污染
2014-04-25,100,75,141,46,56,1.2,138,145,良
2014-04-26,64,43,78,11,32,1.3,92,93,良
2014-04-27,98,73,114,31,50,2.3,76,156,良
2014-04-28,78,55,105,25,55,1.3,96,114,良
2014-04-29,93,69,132,36,60,1.3,136,115,良
2014-04-30,105,76,137,36,53,1.2,165,115,轻度污染
2014-05-01,107,80,159,45,41,1.3,168,90,轻度污染
