time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,101,70,151,101,33,2.8,30,53,轻度污染
2014-01-02,115,87,156,151,38,3.6,17,66,轻度污染
2014-01-03,76,55,103,91,32,2.4,26,30,良
2014-01-04,103,77,131,134,37,2.9,25,62,轻度污染
2014-01-05,87,65,118,108,36,2.8,24,22,良
2014-01-06,119,90,156,125,44,3.1,9,52,轻度污染
2014-01-07,142,109,171,121,41,3.0,14,117,轻度污染
2014-01-08,55,23,60,41,20,1.9,46,48,良
2014-01-09,74,50,99,96,35,2.6,24,96,良
2014-01-10,105,79,132,129,39,3.1,12,90,轻度污染
2014-01-11,103,78,131,147,35,3.1,30,76,轻度污染
2014-01-12,58,32,67,63,27,2.3,28,26,良
2014-01-13,83,61,109,117,38,3.0,24,71,良
2014-01-14,109,82,134,129,41,3.3,15,88,轻度污染
2014-01-15,135,103,160,174,41,3.8,13,91,轻度污染
2014-01-16,181,137,194,186,46,4.0,22,117,中度污染
2014-01-17,103,77,124,123,33,3.3,27,43,轻度污染
2014-01-18,105,79,136,156,40,3.5,14,50,轻度污染
2014-01-19,93,69,134,104,27,3.0,38,21,良
2014-01-20,53,20,57,44,20,2.4,38,8,良
2014-01-21,71,52,92,104,37,3.3,19,45,良
2014-01-22,145,111,161,177,52,4.2,19,161,轻度污染
2014-01-23,230,180,249,246,62,5.0,15,176,重度污染
2014-01-24,169,129,177,165,54,3.7,27,132,中度污染
2014-01-25,111,84,123,124,55,3.0,20,83,轻度污染
2014-01-26,154,118,169,139,56,3.3,20,152,中度污染
2014-01-27,205,155,204,160,56,3.4,17,161,重度污染
2014-01-28,68,50,87,82,35,1.7,28,63,良
2014-01-29,141,108,166,131,59,2.2,36,139,轻度污染
2014-01-30,98,73,118,110,50,1.9,44,54,良
2014-01-31,195,146,215,111,46,2.5,29,76,中度污染
2014-02-01,245,195,272,188,63,3.5,28,162,重度污染
2014-02-02,206,156,227,165,57,3.3,39,119,重度污染
2014-02-03,54,22,58,31,19,1.3,37,44,良
2014-02-04,49,20,49,38,21,1.4,28,62,优
2014-02-05,69,51,74,46,25,1.7,21,134,良
2014-02-06,101,76,95,57,28,1.9,19,161,轻度污染
2014-02-07,203,153,189,132,48,2.7,14,177,重度污染
2014-02-08,85,63,87,63,26,1.7,34,130,良
2014-02-09,24,14,24,37,19,1.1,34,18,优
2014-02-10,64,46,69,80,32,1.7,23,124,良
2014-02-11,109,82,116,125,40,2.3,28,141,轻度污染
2014-02-12,67,49,80,91,27,1.9,23,41,良
2014-02-13,115,87,129,98,23,1.9,32,118,轻度污染
2014-02-14,199,149,210,108,26,2.1,39,158,中度污染
2014-02-15,259,209,290,141,32,2.7,29,169,重度污染
2014-02-16,183,138,197,84,23,2.4,43,153,中度污染
2014-02-17,121,92,130,46,18,1.7,45,140,轻度污染
2014-02-18,133,101,142,85,24,1.7,37,178,轻度污染
2014-02-19,74,55,92,50,16,1.4,41,70,良
2014-02-20,84,62,101,69,18,1.6,31,80,良
2014-02-21,220,170,219,111,29,2.1,37,169,重度污染
2014-02-22,251,201,277,164,33,2.5,33,175,重度污染
2014-02-23,219,169,233,134,31,2.6,28,155,重度污染
2014-02-24,181,136,207,100,30,2.0,36,134,中度污染
2014-02-25,202,152,233,117,33,2.2,57,142,重度污染
2014-02-26,183,138,220,137,36,2.5,29,150,中度污染
2014-02-27,61,26,71,51,20,1.3,40,52,良
2014-02-28,121,92,149,90,32,2.1,23,179,轻度污染
2014-03-01,164,125,188,148,36,2.4,33,178,中度污染
2014-03-02,103,77,147,138,33,2.3,49,118,轻度污染
2014-03-03,102,72,154,120,30,2.2,42,124,轻度污染
2014-03-04,57,25,65,45,19,1.5,43,44,良
2014-03-05,67,37,85,56,26,1.7,39,78,良
2014-03-06,54,22,57,39,20,1.4,45,59,良
2014-03-07,110,83,157,89,33,2.2,27,153,轻度污染
2014-03-08,143,110,170,82,29,2.3,49,162,轻度污染
2014-03-09,93,64,136,83,30,2.2,58,109,良
2014-03-10,153,117,202,80,40,2.5,65,146,中度污染
2014-03-11,121,92,169,79,33,2.3,61,124,轻度污染
2014-03-12,65,33,80,36,18,1.6,42,55,良
2014-03-13,63,23,75,42,18,1.7,55,63,良
2014-03-14,82,39,114,63,24,2.0,53,75,良
2014-03-15,104,68,158,87,28,2.4,61,115,轻度污染
2014-03-16,117,71,185,88,31,2.4,71,115,轻度污染
2014-03-17,159,72,268,49,27,1.8,48,151,中度污染
2014-03-18,101,44,152,38,23,1.7,39,72,轻度污染
2014-03-19,126,56,202,37,24,1.9,49,148,轻度污染
2014-03-20,63,27,76,30,17,1.6,50,54,良
2014-03-21,90,49,130,61,27,2.2,51,152,良
2014-03-22,93,55,136,66,28,2.3,52,117,良
2014-03-23,91,57,132,47,29,2.2,73,90,良
2014-03-24,114,87,158,63,35,2.4,68,128,轻度污染
2014-03-25,100,65,150,61,39,2.4,72,89,良
2014-03-26,104,60,159,52,35,2.3,70,87,轻度污染
2014-03-27,122,78,195,54,29,2.4,85,118,轻度污染
