time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,129,98,129,29,99,1.9,81,93,轻度污染
2014-01-02,159,121,148,38,122,1.8,77,111,中度污染
2014-01-03,180,136,172,31,110,1.9,93,115,中度污染
2014-01-04,170,129,159,40,75,1.6,113,142,中度污染
2014-01-05,149,114,143,39,89,1.4,113,90,轻度污染
2014-01-06,207,157,190,42,109,1.7,117,133,重度污染
2014-01-07,133,101,123,29,92,1.4,54,109,轻度污染
2014-01-08,123,93,118,16,69,1.9,25,149,轻度污染
2014-01-09,66,48,65,12,41,1.5,63,65,良
2014-01-10,90,67,87,17,55,1.4,49,66,良
2014-01-11,132,100,130,24,80,1.6,69,115,轻度污染
2014-01-12,121,92,123,17,63,1.8,46,111,轻度污染
2014-01-13,59,37,68,10,31,1.2,46,33,良
2014-01-14,61,41,71,11,39,1.0,82,34,良
2014-01-15,89,66,86,15,49,1.0,92,50,良
2014-01-16,131,100,135,20,95,1.4,84,79,轻度污染
2014-01-17,142,109,150,22,99,1.5,90,71,轻度污染
2014-01-18,92,69,97,19,50,0.9,114,33,良
2014-01-19,135,103,136,26,82,1.1,133,71,轻度污染
2014-01-20,137,105,142,22,92,1.4,118,111,轻度污染
2014-01-21,109,82,116,27,40,1.0,101,137,轻度污染
2014-01-22,69,50,76,13,52,0.9,97,18,良
2014-01-23,120,91,125,29,101,1.4,103,100,轻度污染
2014-01-24,89,66,94,20,82,1.0,82,59,良
2014-01-25,95,71,86,13,88,1.5,48,72,良
2014-01-26,103,77,89,14,65,1.4,90,114,轻度污染
2014-01-27,123,93,111,16,56,1.2,123,129,轻度污染
2014-01-28,111,83,97,17,67,1.1,114,110,轻度污染
2014-01-29,133,101,116,15,75,1.3,145,133,轻度污染
2014-01-30,111,84,93,17,66,1.2,142,66,轻度污染
2014-01-31,155,118,139,24,51,1.1,130,51,中度污染
2014-02-01,70,51,57,12,30,0.8,97,44,良
2014-02-02,65,47,53,11,38,0.9,102,28,良
2014-02-03,68,50,63,8,42,1.1,103,88,良
2014-02-04,71,52,64,8,33,1.0,101,134,良
2014-02-05,50,35,44,10,25,1.0,91,97,优
2014-02-06,41,28,33,11,29,1.0,70,73,优
2014-02-07,32,23,30,4,24,1.2,24,32,优
2014-02-08,32,22,29,4,21,1.1,12,18,优
2014-02-09,12,9,12,3,21,1.0,15,1,优
2014-02-10,41,29,35,7,17,1.0,58,49,优
2014-02-11,59,43,50,11,21,0.7,67,46,良
2014-02-12,71,51,61,7,28,0.7,56,55,良
2014-02-13,46,32,37,6,28,0.7,36,33,优
2014-02-14,65,47,55,10,27,0.7,69,30,良
2014-02-15,70,51,63,9,38,0.7,50,38,良
2014-02-16,89,66,85,15,57,1.2,20,88,良
2014-02-17,145,111,166,24,84,1.9,20,154,轻度污染
2014-02-18,59,43,63,11,43,1.4,14,75,良
2014-02-19,22,15,22,8,33,1.0,30,11,优
2014-02-20,38,26,38,10,36,0.6,61,12,优
2014-02-21,85,63,98,25,83,0.8,66,43,良
2014-02-22,94,70,86,19,69,0.9,44,53,良
2014-02-23,87,65,82,15,65,0.9,123,44,良
2014-02-24,76,56,81,21,79,0.8,82,38,良
2014-02-25,66,48,77,20,75,0.9,52,59,良
2014-02-26,84,62,86,16,66,1.3,55,73,良
2014-02-27,62,45,64,15,56,1.0,106,54,良
2014-02-28,62,45,65,20,67,0.9,41,87,良
2014-03-01,63,45,65,22,62,0.9,50,92,良
2014-03-02,41,28,41,30,42,1.4,30,20,优
