time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,59,35,69,10,28,1.7,82,5,良
2014-01-02,45,18,40,8,19,1.6,90,2,优
2014-01-03,52,25,53,13,24,1.7,80,4,良
2014-01-04,52,31,55,15,26,1.9,74,10,良
2014-01-05,74,51,97,19,37,2.3,90,9,良
2014-01-06,59,21,68,8,21,1.7,94,11,良
2014-01-07,55,25,59,11,22,1.8,90,9,良
2014-01-08,62,27,74,13,23,1.9,78,71,良
2014-01-09,45,20,45,12,24,1.9,76,8,优
2014-01-10,52,19,54,8,13,1.7,85,6,良
2014-01-11,53,22,56,8,16,1.7,76,11,良
2014-01-12,52,25,40,8,12,1.7,102,15,良
2014-01-13,47,22,36,10,15,1.8,93,14,优
2014-01-14,54,35,59,12,24,2.0,82,21,良
2014-01-15,61,39,71,12,23,2.1,69,13,良
2014-01-16,49,18,49,10,10,1.8,85,2,优
2014-01-17,39,22,38,11,17,1.9,77,1,优
2014-01-18,52,29,54,10,18,1.9,75,1,良
2014-01-19,46,13,28,8,11,1.8,92,1,优
2014-01-20,41,13,32,10,13,1.8,81,3,优
2014-01-21,33,15,33,10,17,1.3,65,5,优
2014-01-22,52,24,54,11,22,0.8,77,1,良
2014-01-23,67,42,84,15,32,1.2,80,12,良
2014-01-24,59,29,69,11,23,0.9,82,19,良
2014-01-25,50,25,51,10,18,0.9,98,10,优
2014-01-26,44,16,44,11,19,0.8,87,7,优
2014-01-27,43,18,43,9,18,0.9,86,11,优
2014-01-28,48,13,45,7,6,0.6,95,15,优
2014-01-29,44,16,35,9,13,0.8,87,9,优
2014-01-30,53,24,56,9,17,0.9,86,7,良
2014-01-31,53,23,57,11,14,0.8,90,1,良
2014-02-01,43,18,37,10,15,0.9,86,9,优
2014-02-02,42,22,42,11,18,0.9,79,6,优
2014-02-03,42,22,42,13,20,1.1,83,15,优
2014-02-04,70,32,91,12,23,1.2,86,131,良
2014-02-05,61,24,73,9,17,1.0,79,119,良
2014-02-06,44,14,44,7,6,0.8,86,80,优
2014-02-07,56,39,62,14,38,1.3,81,88,良
2014-02-08,57,22,65,9,15,1.0,106,66,良
2014-02-09,69,26,88,9,15,1.0,102,121,良
2014-02-10,93,34,137,9,11,0.9,91,154,良
2014-02-11,112,39,173,7,6,0.9,95,147,轻度污染
2014-02-12,68,22,86,8,12,1.0,109,44,良
2014-02-13,49,19,49,9,18,1.0,88,38,优
2014-02-14,90,31,131,8,12,1.0,102,60,良
2014-02-15,172,43,294,8,11,1.0,99,128,中度污染
2014-02-16,90,25,129,7,7,0.9,101,89,良
2014-02-17,62,14,73,7,7,1.0,104,74,良
2014-02-18,49,12,25,8,10,1.0,98,52,优
