time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,68,42,86,38,47,1.4,55,15,良
2014-01-02,53,29,57,34,37,1.1,69,3,良
2014-01-03,76,56,99,28,50,1.3,64,31,良
2014-01-04,102,76,122,25,57,1.3,67,61,轻度污染
2014-01-05,62,34,75,28,44,1.4,59,5,良
2014-01-06,55,26,59,27,38,1.1,61,6,良
2014-01-07,54,28,59,28,42,1.0,65,7,良
2014-01-08,70,39,91,23,46,1.1,64,84,良
2014-01-09,63,38,75,20,42,1.1,64,55,良
2014-01-10,52,26,55,28,37,1.0,65,7,良
2014-01-11,54,27,58,31,39,1.1,68,12,良
2014-01-12,62,45,69,19,39,1.4,41,39,良
2014-01-13,56,40,58,22,40,1.4,54,27,良
2014-01-14,90,67,104,31,51,2.0,52,64,良
2014-01-15,49,31,49,14,31,1.0,49,7,优
2014-01-16,51,31,52,27,36,1.2,56,5,良
2014-01-17,102,77,110,18,51,1.3,36,40,轻度污染
2014-01-18,110,83,126,25,53,1.4,49,56,轻度污染
2014-01-19,102,77,132,33,52,1.9,58,29,轻度污染
2014-01-20,63,46,70,19,38,1.0,61,20,良
2014-01-21,63,45,60,25,37,0.9,37,32,良
2014-01-22,89,66,119,41,54,1.9,65,65,良
2014-01-23,73,54,96,31,46,1.7,61,18,良
2014-01-24,47,22,47,27,34,0.8,62,4,优
2014-01-25,66,48,79,26,46,1.2,94,40,良
2014-01-26,70,51,78,21,40,1.8,68,69,良
2014-01-27,60,43,67,20,34,1.4,62,48,良
2014-01-28,42,24,42,25,29,1.2,65,10,优
2014-01-29,46,29,46,31,33,1.3,80,11,优
2014-01-30,52,35,54,35,29,1.2,82,6,良
2014-01-31,58,42,65,39,22,1.2,72,4,良
2014-02-01,36,21,32,32,20,0.9,72,3,优
2014-02-02,41,18,30,33,23,1.0,81,4,优
2014-02-03,45,29,45,48,34,1.2,80,19,优
2014-02-04,37,23,34,17,19,1.0,74,19,优
2014-02-05,34,17,33,29,18,1.1,68,21,优
2014-02-06,36,16,36,21,18,1.0,71,52,优
2014-02-07,37,17,37,11,16,0.7,69,42,优
2014-02-08,44,22,44,27,23,1.0,74,41,优
2014-02-09,50,27,51,26,25,0.9,76,79,优
2014-02-10,58,38,66,16,30,1.0,82,113,良
2014-02-11,63,44,77,10,26,1.0,80,58,良
2014-02-12,55,29,59,16,27,0.9,81,15,良
2014-02-13,71,52,78,17,32,1.3,71,61,良
2014-02-14,66,48,82,14,32,1.3,76,32,良
2014-02-15,55,32,61,29,28,1.0,86,15,良
2014-02-16,55,34,60,16,28,1.0,84,35,良
2014-02-17,47,23,47,13,24,1.0,64,35,优
2014-02-18,29,20,27,9,23,1.2,54,15,优
2014-02-19,50,28,50,13,32,1.1,86,41,优
2014-02-20,61,44,72,17,40,1.4,65,40,良
2014-02-21,43,18,43,16,28,1.2,73,2,优
2014-02-22,51,24,52,29,42,1.2,81,5,良
2014-02-23,51,25,52,28,34,1.3,83,7,良
2014-02-24,51,26,53,19,29,1.0,85,14,良
2014-02-25,45,21,40,20,26,0.8,90,18,优
2014-02-26,71,36,91,29,44,1.1,86,56,良
2014-02-27,59,33,67,36,41,1.0,94,47,良
2014-02-28,53,22,56,25,28,0.7,84,55,良
2014-03-01,45,15,45,15,22,0.5,80,30,优
2014-03-02,52,18,53,30,25,0.6,76,34,良
2014-03-03,53,20,55,23,26,0.7,78,30,良
2014-03-04,56,26,61,28,37,0.7,85,38,良
2014-03-05,66,44,82,37,42,1.2,93,76,良
2014-03-06,64,46,76,29,38,1.0,92,100,良
2014-03-07,87,63,124,39,52,1.3,100,139,良
2014-03-08,74,54,83,33,45,0.9,95,96,良
2014-03-09,86,64,120,35,55,1.0,97,98,良
2014-03-10,94,70,120,38,53,1.2,94,90,良
2014-03-11,81,51,111,29,45,1.2,100,52,良
2014-03-12,60,38,70,22,32,0.8,100,43,良
2014-03-13,90,59,130,24,56,1.1,106,140,良
2014-03-14,86,64,114,19,45,1.3,82,92,良
2014-03-15,98,71,146,21,47,1.5,107,93,良
2014-03-16,72,45,94,18,40,1.0,99,13,良
2014-03-17,88,52,126,50,54,1.5,108,35,良
2014-03-18,76,47,101,26,34,1.1,119,40,良
2014-03-19,79,52,109,36,49,1.3,110,51,良
2014-03-20,102,71,154,48,62,1.6,109,171,轻度污染
2014-03-21,66,48,79,15,35,1.2,98,65,良
2014-03-22,58,37,66,10,33,1.1,86,15,良
2014-03-23,56,39,62,9,29,1.2,98,8,良
2014-03-24,46,27,44,15,26,1.1,91,7,优
2014-03-25,57,30,64,34,37,1.2,101,15,良
2014-03-26,79,43,108,30,47,1.3,86,33,良
2014-03-27,64,35,77,35,37,1.1,95,31,良
2014-03-28,63,36,76,31,32,1.0,102,46,良
2014-03-29,75,53,100,26,45,1.2,96,81,良
2014-03-30,78,54,106,29,36,1.2,124,59,良
2014-03-31,79,58,108,31,38,1.2,125,81,良
2014-04-01,85,61,120,22,39,1.2,107,100,良
2014-04-02,59,30,67,23,31,0.9,94,34,良
2014-04-03,78,48,106,36,52,1.2,111,97,良
2014-04-04,81,60,97,20,31,1.2,115,95,良
2014-04-05,68,49,84,15,39,1.3,117,44,良
2014-04-06,69,36,63,14,35,1.2,123,64,良
2014-04-07,65,45,81,15,41,1.4,111,38,良
2014-04-08,66,47,81,20,40,1.5,109,27,良
2014-04-09,66,45,81,34,42,1.5,103,28,良
2014-04-10,58,34,66,25,35,1.2,106,22,良
2014-04-11,64,35,78,22,33,1.2,108,37,良
2014-04-12,62,41,73,23,39,1.2,113,49,良
2014-04-13,80,56,110,30,50,1.5,136,95,良
2014-04-14,91,66,132,31,52,1.7,134,86,良
2014-04-15,88,53,105,25,38,1.3,145,93,良
2014-04-16,75,50,100,18,35,1.2,130,89,良
2014-04-17,77,53,104,24,40,1.2,132,78,良
2014-04-18,82,61,113,23,45,1.3,124,107,良
2014-04-19,80,42,87,20,36,1.1,136,151,良
2014-04-20,79,56,107,26,45,1.5,127,120,良
2014-04-21,73,49,96,18,35,1.2,126,102,良
2014-04-22,83,61,116,24,45,1.4,131,117,良
2014-04-23,88,56,107,19,33,1.3,145,99,良
2014-04-24,98,65,115,24,36,1.4,158,129,良
2014-04-25,96,70,126,28,42,1.4,155,136,良
2014-04-26,104,79,140,26,46,1.7,148,164,轻度污染
2014-04-27,83,62,108,13,35,1.5,112,133,良
2014-04-28,78,56,99,10,35,1.4,133,115,良
2014-04-29,69,45,88,13,38,1.4,104,32,良
2014-04-30,60,31,54,10,40,1.2,112,16,良
2014-05-01,83,52,87,13,38,1.3,140,46,良
2014-05-02,55,34,58,7,35,1.3,106,17,良
2014-05-03,50,27,45,8,29,1.4,99,15,优
2014-05-04,48,27,48,14,34,1.3,78,18,优
2014-05-05,54,34,58,12,40,1.2,64,53,良
2014-05-06,59,30,67,14,37,1.4,74,34,良
2014-05-07,51,19,53,18,34,1.2,88,24,良
2014-05-08,46,19,46,12,25,1.1,88,18,优
2014-05-09,46,20,46,14,25,1.0,82,30,优
2014-05-10,54,23,59,16,25,1.0,97,63,良
2014-05-11,78,33,79,17,35,1.1,133,170,良
2014-05-12,52,22,55,18,29,1.1,87,33,良
2014-05-13,52,23,54,16,23,1.0,102,23,良
2014-05-14,53,25,50,13,22,0.9,104,40,良
2014-05-15,69,46,87,21,39,1.0,108,74,良
2014-05-16,63,31,75,22,31,1.0,107,37,良
2014-05-17,63,34,72,24,32,0.9,116,39,良
2014-05-18,70,35,84,26,38,1.1,124,74,良
2014-05-19,82,41,91,26,43,1.1,138,94,良
2014-05-20,66,41,82,15,29,1.1,119,48,良
2014-05-21,60,31,70,19,26,0.9,111,34,良
2014-05-22,55,27,57,18,26,0.8,106,33,良
2014-05-23,56,27,62,21,31,1.0,102,46,良
2014-05-24,66,42,68,15,26,1.0,119,100,良
2014-05-25,48,18,48,13,21,0.9,91,29,优
2014-05-26,58,28,47,9,26,0.8,110,35,良
2014-05-27,54,34,55,13,22,1.0,105,19,良
2014-05-28,47,25,47,8,28,1.0,89,15,优
2014-05-29,52,21,52,14,30,1.2,102,21,良
2014-05-30,53,21,52,18,27,1.1,103,31,良
2014-05-31,47,19,45,9,21,1.0,93,22,优
2014-06-01,48,22,48,13,24,1.0,96,38,优
2014-06-02,53,23,47,13,21,1.0,103,46,良
2014-06-03,51,24,51,13,22,1.1,100,38,良
2014-06-04,52,26,55,11,20,1.0,100,30,良
2014-06-05,51,30,51,11,26,1.1,90,34,良
2014-06-06,45,18,35,7,29,1.1,90,36,优
2014-06-07,41,22,34,6,24,1.0,81,20,优
2014-06-08,49,28,49,12,30,1.3,85,24,优
2014-06-09,46,16,32,11,29,1.3,91,14,优
2014-06-10,34,15,29,7,25,1.0,67,8,优
2014-06-11,38,23,38,9,29,1.0,71,8,优
2014-06-12,48,28,48,7,32,1.0,63,10,优
2014-06-13,44,24,44,8,28,0.9,75,6,优
2014-06-14,48,25,47,6,25,0.9,95,9,优
2014-06-15,49,23,49,12,28,1.1,90,17,优
2014-06-16,41,19,41,18,29,1.2,56,8,优
2014-06-17,59,30,48,18,32,1.0,111,58,良
2014-06-18,53,26,55,42,39,1.4,72,46,良
2014-06-19,29,12,29,17,23,0.9,45,6,优
2014-06-20,35,15,35,27,29,0.9,57,24,优
2014-06-21,40,20,40,29,31,0.9,61,34,优
