time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,111,84,138,32,71,1.1,64,70,轻度污染
2014-01-02,146,112,185,40,95,1.5,37,92,轻度污染
2014-01-03,166,126,198,52,91,1.5,62,107,中度污染
2014-01-04,212,162,249,78,80,1.7,40,171,重度污染
2014-01-05,255,205,277,50,89,2.0,47,171,重度污染
2014-01-06,198,148,194,47,81,1.5,46,121,中度污染
2014-01-07,147,112,139,33,80,1.7,30,121,轻度污染
2014-01-08,53,38,33,18,47,1.1,38,39,良
2014-01-09,63,45,70,30,40,0.7,41,53,良
2014-01-10,97,73,115,43,56,0.8,47,80,良
2014-01-11,84,63,74,25,54,0.8,36,52,良
2014-01-12,76,56,47,22,51,0.9,29,55,良
2014-01-13,130,99,118,42,59,1.1,31,138,轻度污染
2014-01-14,89,66,91,41,63,0.9,54,60,良
2014-01-15,104,78,107,33,63,1.0,49,61,轻度污染
2014-01-16,113,86,125,34,69,1.1,52,52,轻度污染
2014-01-17,162,123,170,35,83,1.3,52,87,中度污染
2014-01-18,265,215,247,49,57,1.4,60,149,重度污染
2014-01-19,255,205,248,36,70,1.6,64,143,重度污染
2014-01-20,136,104,193,31,59,1.1,52,109,轻度污染
2014-01-21,97,48,144,37,49,0.8,39,108,良
2014-01-22,85,63,98,36,59,0.9,47,52,良
2014-01-23,106,80,117,30,68,0.9,50,73,轻度污染
2014-01-24,70,51,78,16,57,0.8,64,35,良
2014-01-25,186,140,176,32,60,1.3,68,142,中度污染
2014-01-26,83,61,71,21,28,0.7,61,95,良
2014-01-27,53,32,56,14,37,0.6,54,28,良
2014-01-28,118,90,110,25,56,1.3,37,118,轻度污染
2014-01-29,109,82,91,16,41,0.9,43,108,轻度污染
2014-01-30,214,164,205,16,45,1.5,80,118,重度污染
2014-01-31,243,193,228,13,33,1.3,59,113,重度污染
2014-02-01,96,71,79,12,30,0.8,86,74,良
2014-02-02,252,202,241,11,43,1.8,55,156,重度污染
2014-02-03,80,59,83,9,21,1.1,44,108,良
2014-02-04,42,21,42,12,12,0.4,65,39,优
2014-02-05,37,25,37,14,19,0.5,65,39,优
2014-02-06,36,25,31,10,29,0.7,37,53,优
2014-02-07,20,14,11,11,24,0.8,36,6,优
2014-02-08,73,54,56,19,23,1.0,53,104,良
2014-02-09,80,59,62,21,26,1.1,49,141,良
2014-02-10,44,31,38,18,21,0.7,54,63,优
2014-02-11,67,49,55,18,22,0.7,61,75,良
2014-02-12,85,63,71,24,49,1.0,46,75,良
