time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,203,153,210,70,106,2.0,55,174,重度污染
2014-01-02,231,181,254,89,112,2.4,26,172,重度污染
2014-01-03,224,174,226,63,84,1.7,55,153,重度污染
2014-01-04,147,112,184,73,87,1.6,40,115,轻度污染
2014-01-05,195,147,213,89,91,2.2,53,132,中度污染
2014-01-06,235,185,231,81,87,2.1,39,153,重度污染
2014-01-07,318,268,140,29,64,2.3,22,182,严重污染
2014-01-08,252,202,71,62,61,2.1,38,186,重度污染
2014-01-09,258,208,169,78,76,2.5,36,187,重度污染
2014-01-10,169,128,123,64,66,1.7,27,148,中度污染
2014-01-11,120,91,71,33,52,1.3,53,99,轻度污染
2014-01-12,218,168,191,69,72,1.7,41,176,重度污染
2014-01-13,316,266,289,76,87,2.4,33,186,严重污染
2014-01-14,277,227,262,70,84,2.5,47,180,重度污染
2014-01-15,215,165,201,64,64,1.9,54,132,重度污染
2014-01-16,159,122,160,82,91,1.8,40,104,中度污染
2014-01-17,287,237,274,59,102,2.0,68,167,重度污染
2014-01-18,284,234,270,97,94,2.3,55,165,重度污染
2014-01-19,271,221,265,90,102,2.2,46,154,重度污染
2014-01-20,198,148,205,58,84,1.6,68,156,中度污染
2014-01-21,93,67,135,72,70,1.4,29,95,良
2014-01-22,120,91,129,68,67,1.4,65,131,轻度污染
2014-01-23,132,100,141,75,73,1.5,70,124,轻度污染
2014-01-24,166,126,179,70,102,1.9,81,124,中度污染
2014-01-25,298,248,279,107,97,2.5,66,185,重度污染
2014-01-26,337,287,297,86,85,2.6,80,188,严重污染
2014-01-27,264,214,214,56,75,2.2,60,172,重度污染
2014-01-28,334,284,299,51,76,2.3,36,184,严重污染
2014-01-29,336,286,38,30,47,2.1,49,185,严重污染
2014-01-30,201,151,111,43,54,2.6,65,110,重度污染
2014-01-31,227,177,205,56,53,2.0,71,102,重度污染
2014-02-01,271,221,237,16,41,2.1,55,169,重度污染
2014-02-02,279,229,253,36,60,2.6,43,172,重度污染
2014-02-03,202,152,113,31,36,2.5,39,179,重度污染
2014-02-04,57,41,39,11,27,1.1,48,101,良
2014-02-05,45,31,12,20,24,0.8,62,78,优
2014-02-06,44,31,8,25,24,0.9,42,79,优
2014-02-07,110,83,74,12,27,0.9,43,145,轻度污染
2014-02-09,144,111,70,40,27,1.2,89,188,轻度污染
2014-02-10,106,80,27,47,27,1.0,79,169,轻度污染
2014-02-11,113,86,53,43,38,1.1,80,150,轻度污染
2014-02-12,99,74,75,32,39,0.9,71,104,良
2014-02-13,135,103,11,26,35,1.0,82,141,轻度污染
2014-02-14,120,91,86,35,54,1.1,65,102,轻度污染
2014-02-15,129,98,97,54,54,1.3,64,97,轻度污染
2014-02-16,137,105,92,31,59,1.2,34,134,轻度污染
2014-02-17,125,95,28,22,37,1.2,45,145,轻度污染
2014-02-18,37,26,19,20,28,0.7,65,30,优
2014-02-19,72,52,67,31,54,0.8,71,68,良
2014-02-20,115,87,115,70,58,1.5,53,112,轻度污染
2014-02-21,109,82,140,48,82,1.2,68,58,轻度污染
2014-02-22,113,85,147,61,81,1.5,50,72,轻度污染
2014-02-23,211,161,192,45,77,1.6,35,151,重度污染
2014-02-24,173,131,61,35,64,1.5,29,129,中度污染
2014-02-25,103,77,50,25,41,1.3,41,82,轻度污染
2014-02-26,102,76,60,28,51,1.3,25,87,轻度污染
2014-02-27,103,77,85,29,54,1.5,25,119,轻度污染
2014-02-28,48,34,10,22,34,1.4,35,38,优
2014-03-01,79,58,60,11,36,0.9,30,122,良
2014-03-02,143,109,109,33,44,1.2,50,152,轻度污染
2014-03-03,137,105,115,40,54,1.4,48,151,轻度污染
2014-03-04,135,103,95,41,61,1.3,68,169,轻度污染
2014-03-05,108,81,109,41,59,1.1,109,158,轻度污染
2014-03-06,115,87,89,33,49,1.1,78,165,轻度污染
2014-03-07,64,46,55,46,45,1.0,66,90,良
2014-03-08,97,72,85,39,52,1.1,83,126,良
2014-03-09,131,100,130,42,72,1.3,80,152,轻度污染
2014-03-10,102,76,109,57,60,1.2,111,104,轻度污染
2014-03-11,101,76,111,56,66,1.2,64,89,轻度污染
2014-03-12,126,96,166,36,42,1.2,39,162,轻度污染
2014-03-13,79,58,100,32,44,0.8,70,117,良
2014-03-14,106,80,123,38,65,1.0,107,155,轻度污染
2014-03-15,95,71,128,39,72,1.1,119,85,良
2014-03-16,118,89,154,39,79,1.2,81,119,轻度污染
2014-03-17,121,92,165,48,76,1.4,93,101,轻度污染
2014-03-18,141,108,192,65,81,1.5,46,113,轻度污染
2014-03-19,140,107,197,27,35,1.2,63,166,轻度污染
2014-03-20,97,73,100,32,40,0.9,82,164,良
2014-03-21,99,74,115,45,64,1.2,100,169,良
2014-03-22,115,87,144,49,84,1.4,106,162,轻度污染
2014-03-23,151,116,183,46,97,1.5,45,165,中度污染
2014-03-24,139,106,123,37,67,1.3,30,159,轻度污染
2014-03-25,97,73,79,27,58,1.6,56,84,良
2014-03-26,112,85,117,49,71,1.9,81,103,轻度污染
2014-03-27,94,70,122,57,65,1.4,123,69,良
2014-03-28,69,50,84,41,57,1.1,103,66,良
2014-03-29,99,71,147,30,51,1.1,149,116,良
2014-03-30,118,89,171,43,58,1.2,139,141,轻度污染
2014-03-31,86,64,100,29,48,1.0,96,105,良
2014-04-01,92,69,124,38,78,1.3,105,113,良
2014-04-02,116,88,157,45,87,1.4,137,164,轻度污染
2014-04-03,117,89,155,30,60,1.1,163,174,轻度污染
2014-04-04,166,126,185,41,55,1.4,160,186,中度污染
2014-04-05,184,139,201,28,80,1.3,144,185,中度污染
2014-04-06,95,71,111,39,48,1.2,118,140,良
2014-04-07,115,87,68,33,49,1.2,81,164,轻度污染
2014-04-08,129,99,135,38,81,1.5,104,129,轻度污染
2014-04-09,126,96,151,35,82,1.5,143,131,轻度污染
2014-04-10,85,62,121,50,64,1.1,115,68,良
2014-04-11,73,53,84,18,43,1.1,107,66,良
2014-04-12,70,51,44,6,27,1.2,82,74,良
2014-04-13,76,56,71,18,36,1.1,73,87,良
2014-04-14,79,58,85,32,46,1.1,104,56,良
2014-04-15,76,56,71,31,46,1.1,88,62,良
2014-04-16,50,35,40,26,35,1.0,56,14,优
2014-04-17,55,39,53,20,45,1.0,79,32,良
2014-04-18,62,45,66,32,44,1.0,55,50,良
2014-04-19,44,19,23,17,22,0.7,87,21,优
2014-04-20,81,60,82,25,46,1.0,101,127,良
2014-04-21,37,26,31,18,35,0.8,71,11,优
2014-04-22,69,50,68,22,38,0.9,102,77,良
2014-04-23,68,50,67,36,54,1.1,70,50,良
2014-04-24,77,56,81,34,61,1.3,41,67,良
2014-04-25,84,62,76,23,52,1.2,37,114,良
2014-04-26,56,36,62,20,28,0.8,88,69,良
2014-04-27,84,47,118,22,37,0.8,131,134,良
2014-04-28,81,49,112,23,63,0.9,137,124,良
2014-04-29,80,53,110,35,76,1.0,114,61,良
2014-04-30,90,63,129,32,58,0.8,130,76,良
2014-05-01,107,67,164,24,71,1.1,144,91,轻度污染
2014-05-02,130,66,210,25,52,0.8,81,173,轻度污染
2014-05-03,117,55,185,36,50,0.8,101,179,轻度污染
2014-05-04,78,54,105,22,40,0.7,72,126,良
2014-05-05,95,53,139,28,60,0.9,123,171,良
2014-05-06,98,55,132,40,70,1.0,158,135,良
2014-05-07,101,70,153,29,75,0.9,137,128,轻度污染
2014-05-08,107,80,155,36,60,1.1,147,132,轻度污染
2014-05-09,65,47,74,31,37,0.9,110,63,良
2014-05-10,43,30,33,20,36,1.0,75,28,优
2014-05-11,66,25,49,19,33,1.0,119,133,良
2014-05-12,101,52,104,33,73,1.1,161,164,轻度污染
2014-05-13,90,67,112,42,69,1.3,81,109,良
2014-05-14,77,56,64,17,33,1.0,88,88,良
2014-05-15,77,37,103,28,48,0.8,132,90,良
2014-05-16,120,91,184,44,98,1.4,96,145,轻度污染
2014-05-17,98,73,104,24,47,0.9,93,111,良
2014-05-18,131,100,138,29,72,1.3,70,163,轻度污染
2014-05-19,151,116,159,29,81,1.4,67,173,中度污染
2014-05-20,212,162,215,24,64,1.2,134,188,重度污染
2014-05-21,229,179,224,31,92,1.7,69,188,重度污染
2014-05-22,98,73,93,27,41,1.1,122,88,良
2014-05-23,68,42,71,30,41,0.9,122,74,良
2014-05-24,56,40,62,23,43,1.0,76,62,良
2014-05-25,91,67,133,21,40,1.0,95,101,良
2014-05-26,281,137,406,23,39,0.7,122,188,重度污染
2014-05-27,136,104,200,23,35,0.8,117,138,轻度污染
2014-05-28,121,86,191,28,71,0.9,144,132,轻度污染
2014-05-29,148,104,245,30,72,1.2,164,136,轻度污染
2014-05-30,108,81,156,32,55,1.1,110,89,轻度污染
2014-05-31,72,52,82,26,38,1.1,53,59,良
2014-06-01,47,30,47,18,28,0.9,93,35,优
2014-06-02,103,47,78,21,26,0.8,163,163,轻度污染
2014-06-03,80,48,76,22,23,0.7,136,113,良
2014-06-04,126,64,111,33,47,1.0,189,182,轻度污染
2014-06-05,146,81,147,38,60,1.1,211,181,轻度污染
2014-06-06,167,113,205,28,63,1.2,232,175,中度污染
2014-06-07,158,106,166,23,42,1.1,223,167,中度污染
2014-06-08,174,132,217,34,75,1.6,187,182,中度污染
2014-06-09,201,151,230,28,70,1.5,220,190,重度污染
2014-06-10,148,114,185,27,51,1.1,194,179,轻度污染
2014-06-11,149,111,183,28,57,1.2,214,182,轻度污染
2014-06-12,274,224,297,24,52,1.5,177,190,重度污染
2014-06-13,205,155,226,30,61,1.4,174,184,重度污染
2014-06-14,134,103,154,26,44,1.1,192,131,轻度污染
2014-06-15,119,90,122,18,31,1.0,129,111,轻度污染
