time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,99,36,82,148,41,0.9,45,13,良
2014-01-02,102,56,117,158,54,1.2,29,23,轻度污染
2014-01-03,86,42,70,121,45,0.6,43,15,良
2014-01-04,166,126,174,291,79,1.4,28,109,中度污染
2014-01-05,128,97,132,227,65,1.2,30,55,轻度污染
2014-01-06,165,125,165,241,62,1.6,30,86,中度污染
2014-01-07,86,57,94,121,42,0.8,42,58,良
2014-01-08,83,30,62,116,36,0.5,54,33,良
2014-01-09,110,83,130,167,62,1.4,37,138,轻度污染
2014-01-10,125,95,144,231,74,1.7,30,107,轻度污染
2014-01-11,140,107,168,228,73,1.8,28,122,轻度污染
2014-01-12,87,40,73,124,36,0.5,47,32,良
2014-01-13,145,111,164,292,73,1.4,26,142,轻度污染
2014-01-14,203,153,216,342,84,2.0,24,137,重度污染
2014-01-15,152,116,167,204,78,2.0,30,97,中度污染
2014-01-16,233,183,256,274,78,2.2,19,141,重度污染
2014-01-17,188,141,206,372,84,1.4,17,99,中度污染
2014-01-18,109,82,113,158,54,1.0,42,61,轻度污染
2014-01-19,142,108,151,216,67,1.4,20,70,轻度污染
2014-01-20,128,97,118,148,53,1.1,35,88,轻度污染
2014-01-21,169,128,177,284,81,1.5,25,179,中度污染
2014-01-22,147,112,161,305,83,2.1,26,162,轻度污染
2014-01-23,103,77,105,116,45,1.0,58,64,轻度污染
2014-01-24,162,123,142,152,60,1.3,47,112,中度污染
2014-01-25,107,80,139,178,46,1.0,57,91,轻度污染
2014-01-26,106,59,121,188,55,1.4,36,93,轻度污染
2014-01-27,84,43,113,117,37,0.8,45,78,良
2014-01-28,87,31,54,124,38,0.7,51,19,良
2014-01-29,81,45,112,107,34,0.9,55,54,良
2014-01-30,83,43,80,115,31,0.8,62,15,良
2014-01-31,219,169,218,228,50,1.4,46,83,重度污染
2014-02-01,160,122,166,231,61,1.8,34,116,中度污染
2014-02-02,118,46,186,95,27,1.1,60,87,轻度污染
2014-02-03,64,20,53,77,20,0.7,64,31,良
