time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,129,71,208,138,73,1.3,31,92,轻度污染
2014-01-02,144,99,238,148,83,2.1,28,88,轻度污染
2014-01-03,209,159,312,174,93,2.3,17,140,重度污染
2014-01-04,114,86,171,108,63,1.4,34,78,轻度污染
2014-01-05,242,192,315,127,79,1.8,24,160,重度污染
2014-01-06,489,361,589,161,116,4.1,13,188,严重污染
2014-01-08,124,94,156,120,55,1.6,31,151,轻度污染
2014-01-09,118,90,163,148,59,1.5,33,150,轻度污染
2014-01-10,199,149,242,110,62,1.9,38,160,中度污染
2014-01-11,206,156,241,113,68,2.0,40,146,重度污染
2014-01-12,227,177,279,173,82,2.4,34,177,重度污染
2014-01-13,134,102,179,126,64,1.7,41,144,轻度污染
2014-01-14,226,176,287,130,72,2.0,35,166,重度污染
2014-01-15,249,199,307,114,66,1.9,54,144,重度污染
2014-01-16,209,159,263,106,61,1.5,63,132,重度污染
2014-01-17,330,280,423,130,78,3.0,16,175,严重污染
2014-01-18,191,144,225,105,74,2.0,42,104,中度污染
2014-01-19,253,203,341,143,88,2.3,53,140,重度污染
2014-01-20,168,95,287,68,54,1.3,62,134,中度污染
2014-01-21,61,31,73,57,47,1.0,38,29,良
2014-01-22,102,61,155,72,49,1.0,62,100,轻度污染
2014-01-23,110,73,170,67,51,1.1,85,78,轻度污染
2014-01-24,222,172,305,176,107,3.4,50,156,重度污染
2014-01-25,153,117,208,121,66,2.5,50,120,中度污染
2014-01-26,84,53,118,82,52,1.4,53,96,良
2014-01-27,108,68,167,67,44,1.2,69,114,轻度污染
2014-01-28,120,91,186,111,55,1.7,48,123,轻度污染
2014-01-29,113,85,161,61,28,1.2,85,116,轻度污染
2014-01-30,315,265,394,130,60,2.5,73,178,严重污染
2014-02-01,289,239,399,67,37,3.8,9,174,重度污染
2014-02-02,248,198,330,98,48,3.1,19,149,重度污染
2014-02-03,81,39,112,105,34,1.2,60,113,良
2014-02-04,69,43,88,129,42,1.4,45,130,良
2014-02-05,89,66,92,79,38,1.4,37,163,良
2014-02-06,117,89,113,131,48,1.5,48,170,轻度污染
2014-02-07,112,85,111,113,56,1.6,35,149,轻度污染
2014-02-08,110,83,112,129,47,1.6,56,161,轻度污染
2014-02-09,70,51,77,78,30,1.4,58,125,良
2014-02-10,60,43,71,91,40,1.4,68,116,良
2014-02-11,107,81,118,126,54,1.5,64,137,轻度污染
2014-02-12,225,175,253,229,85,2.3,33,182,重度污染
2014-02-13,205,155,223,183,79,2.1,64,176,重度污染
2014-02-14,190,143,206,106,58,1.6,101,154,中度污染
2014-02-15,148,114,164,66,45,1.4,88,119,轻度污染
2014-02-16,220,170,259,182,75,2.1,66,165,重度污染
2014-02-17,169,129,200,148,63,1.9,45,165,中度污染
2014-02-18,93,69,126,180,69,1.7,51,150,良
2014-02-19,160,122,211,194,92,2.4,26,173,中度污染
2014-02-20,191,144,246,151,76,2.4,50,161,中度污染
2014-02-21,159,122,206,74,58,1.5,101,120,中度污染
2014-02-22,164,125,222,126,82,1.9,87,129,中度污染
2014-02-23,196,147,270,133,92,2.1,69,138,中度污染
2014-02-24,255,205,368,139,107,2.5,50,168,重度污染
2014-02-25,238,188,335,118,98,2.4,73,157,重度污染
2014-02-26,117,88,169,77,61,1.5,68,102,轻度污染
2014-02-27,81,60,108,56,46,1.3,60,79,良
2014-02-28,90,56,130,130,87,1.6,47,146,良
2014-03-01,129,98,171,85,74,1.4,83,165,轻度污染
2014-03-02,179,135,237,93,70,1.6,85,160,中度污染
2014-03-03,120,91,183,69,50,1.2,91,141,轻度污染
2014-03-04,85,57,119,78,56,1.2,86,120,良
2014-03-05,109,82,161,128,86,1.8,65,160,轻度污染
2014-03-06,135,103,212,140,84,1.8,46,175,轻度污染
2014-03-07,141,108,190,109,68,1.4,73,172,轻度污染
2014-03-08,147,112,187,84,63,1.1,94,164,轻度污染
2014-03-09,206,156,276,175,102,2.0,64,176,重度污染
2014-03-10,175,132,250,93,63,1.4,120,159,中度污染
2014-03-11,113,85,175,60,59,0.9,135,108,轻度污染
2014-03-12,112,59,174,70,69,0.9,72,145,轻度污染
2014-03-13,91,52,132,71,64,1.1,58,143,良
2014-03-14,89,43,128,58,50,0.8,78,107,良
2014-03-15,110,49,170,48,34,0.5,117,129,轻度污染
