time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,150,115,150,17,65,1.4,129,124,轻度污染
2014-01-02,130,99,105,14,48,1.7,140,77,轻度污染
2014-01-03,66,48,71,6,27,0.9,89,19,良
2014-01-04,120,91,118,16,34,1.3,122,88,轻度污染
2014-01-05,152,116,143,15,26,1.2,113,97,中度污染
2014-01-06,95,71,108,6,16,1.2,102,33,良
2014-01-07,59,42,68,5,20,0.7,67,13,良
2014-01-08,44,25,44,4,14,0.8,36,14,优
2014-01-09,66,48,66,8,17,1.3,61,70,良
2014-01-10,54,34,58,6,16,1.1,65,9,良
2014-01-11,47,22,47,4,8,0.6,60,6,优
2014-01-12,68,50,72,9,8,1.0,112,45,良
2014-01-13,70,51,69,10,12,1.1,105,53,良
2014-01-14,90,67,82,14,16,1.2,65,65,良
2014-01-15,70,51,69,10,16,0.8,90,26,良
2014-01-16,52,29,54,6,9,0.8,100,6,良
2014-01-17,87,53,77,10,16,0.7,144,29,良
2014-01-18,111,84,111,14,31,1.1,127,57,轻度污染
2014-01-19,84,62,90,11,18,0.7,115,8,良
2014-01-20,90,67,97,11,15,1.0,147,58,良
2014-01-21,140,107,137,20,18,1.0,119,164,轻度污染
2014-01-22,70,48,90,13,13,0.6,121,22,良
2014-01-23,73,53,84,9,28,0.7,114,19,良
2014-01-24,51,27,52,5,21,0.8,75,9,良
2014-01-25,41,23,41,6,19,0.5,63,4,优
2014-01-26,49,31,49,6,13,1.0,89,10,优
2014-01-27,54,37,58,6,13,0.6,92,33,良
2014-01-28,50,26,51,4,10,0.8,67,18,优
2014-01-29,47,28,47,5,10,0.5,78,13,优
2014-01-30,49,30,49,7,10,0.8,81,4,优
2014-01-31,81,60,81,11,7,0.5,72,13,良
2014-02-01,37,25,37,5,8,0.4,56,4,优
2014-02-02,31,21,31,6,11,0.5,40,2,优
2014-02-03,32,21,32,4,16,0.4,36,6,优
2014-02-04,30,19,30,5,10,0.4,41,3,优
2014-02-05,29,16,29,3,8,0.8,52,3,优
2014-02-06,22,8,18,3,7,0.5,43,5,优
2014-02-07,22,11,22,3,9,0.4,16,12,优
2014-02-08,26,14,26,3,7,0.4,20,11,优
2014-02-09,33,23,30,4,14,0.9,15,38,优
2014-02-10,25,18,23,4,11,0.9,19,6,优
2014-02-11,56,39,45,5,12,1.2,28,38,良
2014-02-12,32,22,28,4,14,0.8,35,2,优
2014-02-13,26,19,21,5,13,1.1,23,4,优
2014-02-14,60,43,53,8,10,0.9,49,22,良
2014-02-15,53,38,52,6,19,1.1,53,13,良
2014-02-16,55,28,59,6,28,0.9,49,34,良
2014-02-17,34,19,34,6,21,1.0,49,7,优
2014-02-18,36,23,36,4,15,0.7,32,28,优
2014-02-19,21,15,17,5,14,1.2,28,7,优
2014-02-20,33,21,33,7,15,0.8,41,4,优
2014-02-21,53,18,55,5,16,0.5,69,7,良
2014-02-22,43,19,43,4,13,0.5,49,1,优
2014-02-23,48,23,48,4,13,0.5,55,3,优
2014-02-24,37,17,37,4,14,0.5,46,2,优
2014-02-25,32,12,32,4,13,0.7,36,4,优
2014-02-26,32,16,32,4,15,0.5,26,1,优
2014-02-27,34,16,34,4,13,0.7,32,3,优
2014-02-28,27,12,27,3,11,0.4,30,4,优
2014-03-01,34,12,34,5,19,0.5,28,12,优
2014-03-02,32,17,32,5,16,0.5,25,11,优
2014-03-03,32,15,32,3,13,0.7,18,6,优
2014-03-04,28,12,28,3,15,0.5,17,4,优
2014-03-05,52,33,53,4,36,1.1,26,33,良
2014-03-06,38,18,38,3,11,0.6,39,9,优
2014-03-07,36,15,36,3,12,0.8,40,18,优
2014-03-08,44,19,44,3,12,0.5,48,27,优
2014-03-09,26,17,26,4,22,0.9,37,5,优
2014-03-10,19,8,15,4,16,0.7,38,1,优
2014-03-11,36,13,36,4,14,0.9,42,5,优
2014-03-12,51,23,51,5,21,0.6,61,14,良
2014-03-13,40,25,40,4,22,1.0,32,3,优
2014-03-14,54,38,56,7,20,0.9,40,4,良
2014-03-15,57,37,64,7,17,1.1,49,2,良
2014-03-16,51,24,52,4,16,0.6,51,3,良
2014-03-17,52,26,54,4,13,0.8,44,2,良
2014-03-18,42,20,42,4,13,0.6,27,2,优
2014-03-19,40,19,40,4,12,0.8,38,3,优
2014-03-20,37,19,37,4,12,0.5,25,2,优
2014-03-21,56,38,62,9,16,1.0,32,27,良
2014-03-22,44,23,44,5,10,0.7,83,2,优
2014-03-23,40,16,39,4,9,0.7,80,1,优
2014-03-24,42,18,42,4,12,0.5,59,2,优
2014-03-25,43,17,43,3,10,0.5,38,2,优
2014-03-26,36,18,36,3,8,0.5,35,1,优
2014-03-27,33,15,33,4,10,0.7,27,2,优
2014-03-28,32,11,32,4,8,0.4,19,4,优
2014-03-29,33,13,33,4,13,0.8,22,6,优
2014-03-30,37,13,37,3,10,0.5,21,8,优
2014-03-31,33,15,33,5,12,0.8,35,4,优
2014-04-01,44,21,44,5,20,0.6,28,9,优
2014-04-02,45,17,45,5,18,1.0,37,13,优
2014-04-03,31,16,31,5,20,0.7,35,4,优
2014-04-04,49,16,26,5,9,0.9,97,5,优
2014-04-05,47,22,42,4,9,0.6,94,3,优
2014-04-06,31,17,31,4,11,0.9,60,1,优
2014-04-07,52,21,54,4,10,0.5,64,14,良
2014-04-08,53,21,57,4,15,0.8,59,10,良
2014-04-09,38,16,38,4,12,0.5,35,2,优
2014-04-10,30,14,30,3,9,0.8,23,2,优
2014-04-11,34,16,34,3,9,0.5,23,2,优
2014-04-12,32,16,32,3,8,0.8,18,1,优
2014-04-13,34,16,34,4,8,0.5,17,3,优
2014-04-14,35,18,35,4,9,0.7,14,2,优
2014-04-15,36,16,36,3,8,0.5,39,3,优
2014-04-16,34,15,34,3,10,0.8,39,3,优
2014-04-17,34,14,34,3,11,0.5,43,1,优
2014-04-18,35,16,35,4,10,0.8,38,4,优
2014-04-19,30,14,30,3,9,0.5,38,2,优
2014-04-20,28,13,28,3,11,0.7,30,2,优
2014-04-21,28,13,28,3,9,0.5,20,3,优
2014-04-22,30,14,30,3,9,0.7,18,4,优
2014-04-23,27,13,27,3,8,0.4,12,2,优
2014-04-24,27,13,27,3,7,0.6,23,4,优
2014-04-25,28,14,28,3,8,0.4,32,3,优
2014-04-26,27,13,27,3,7,0.7,29,4,优
2014-04-27,49,19,33,4,8,0.5,97,36,优
2014-04-28,48,17,32,7,9,1.0,95,4,优
2014-04-29,61,34,50,6,11,0.9,113,13,良
2014-04-30,43,22,36,4,13,1.0,86,2,优
2014-05-01,39,16,28,4,16,0.7,77,7,优
2014-05-02,32,10,21,3,9,0.9,64,2,优
2014-05-03,37,12,25,3,8,0.5,73,3,优
2014-05-04,27,9,21,5,12,0.8,54,2,优
2014-05-05,42,17,31,6,15,0.7,84,23,优
2014-05-06,43,17,33,3,9,0.9,85,16,优
2014-05-07,33,12,27,3,9,0.5,65,3,优
2014-05-08,31,12,31,4,17,0.8,37,2,优
2014-05-09,33,14,33,4,15,0.5,55,9,优
2014-05-10,30,14,30,4,11,0.7,53,8,优
2014-05-11,40,16,40,5,16,0.6,62,30,优
2014-05-12,41,17,41,5,17,0.8,72,12,优
2014-05-13,31,15,31,3,13,0.5,48,3,优
2014-05-14,32,14,32,4,11,0.7,50,9,优
2014-05-15,34,16,34,3,14,0.5,60,8,优
2014-05-16,35,16,35,4,18,0.8,50,8,优
2014-05-17,25,12,25,3,11,0.5,45,6,优
2014-05-18,25,9,23,3,10,0.6,49,5,优
2014-05-19,37,14,31,5,14,0.5,74,13,优
2014-05-20,34,12,31,4,13,0.7,68,5,优
2014-05-21,27,12,27,3,12,0.4,48,5,优
2014-05-22,30,13,30,3,10,0.7,42,6,优
2014-05-23,28,13,28,3,11,0.4,35,6,优
2014-05-24,29,11,29,4,13,0.7,40,7,优
2014-05-25,26,8,18,3,9,0.4,51,7,优
2014-05-26,26,10,24,5,12,0.7,52,3,优
2014-05-27,29,15,28,6,14,0.5,58,2,优
2014-05-28,38,19,38,8,16,0.9,69,6,优
2014-05-29,32,15,31,5,19,0.5,63,5,优
2014-05-30,26,11,26,4,13,0.8,52,2,优
2014-05-31,25,11,25,4,11,0.5,49,3,优
2014-06-01,28,11,24,5,9,0.9,56,7,优
2014-06-02,37,13,26,6,10,0.5,73,9,优
2014-06-03,37,13,25,4,10,0.8,73,12,优
2014-06-04,33,13,30,4,14,0.5,66,6,优
2014-06-05,33,11,28,4,10,0.9,65,11,优
2014-06-06,30,12,26,4,13,0.5,59,8,优
2014-06-07,28,10,26,5,15,0.8,56,5,优
2014-06-08,27,14,27,5,17,0.5,54,2,优
2014-06-09,32,13,32,7,22,0.9,60,3,优
2014-06-10,31,16,31,5,17,0.5,57,4,优
