time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,75,55,83,17,76,0.7,59,22,良
2014-01-02,84,62,103,23,97,0.9,51,26,良
2014-01-03,102,77,126,19,88,1.2,67,58,轻度污染
2014-01-04,121,92,119,30,77,1.2,64,93,轻度污染
2014-01-05,206,156,203,42,76,1.4,65,142,重度污染
2014-01-06,110,83,148,29,50,1.0,59,44,轻度污染
2014-01-07,57,29,63,15,66,0.8,47,10,良
2014-01-08,55,38,60,11,47,1.0,59,51,良
2014-01-09,43,27,43,11,35,0.7,47,6,优
2014-01-10,53,30,55,13,36,0.6,53,8,良
2014-01-11,63,34,75,10,50,0.7,41,24,良
2014-01-12,60,33,70,8,51,0.7,35,35,良
2014-01-13,40,28,40,10,33,0.8,39,6,优
2014-01-14,50,35,51,10,38,0.8,42,14,优
2014-01-15,63,45,67,16,32,0.7,71,14,良
2014-01-16,54,31,59,13,51,0.6,63,9,良
2014-01-17,58,36,67,11,68,0.6,55,6,良
2014-01-18,95,71,102,19,58,0.9,90,40,良
2014-01-19,137,105,127,24,47,1.0,87,75,轻度污染
2014-01-20,78,57,88,12,57,0.8,53,45,良
2014-01-21,114,86,153,28,44,2.1,60,141,轻度污染
2014-01-22,65,41,79,20,44,1.6,87,12,良
2014-01-23,55,33,59,12,41,0.8,62,4,良
2014-01-24,49,25,49,11,45,0.8,49,7,优
2014-01-25,53,31,57,10,52,1.0,54,12,良
2014-01-26,123,93,112,14,34,1.2,68,136,轻度污染
2014-01-27,44,20,44,9,35,0.7,62,14,优
2014-01-28,50,24,50,11,45,0.7,45,21,优
2014-01-29,46,25,46,11,45,0.9,53,12,优
2014-01-30,86,64,122,14,47,1.1,60,40,良
2014-01-31,224,174,238,27,36,1.2,69,99,重度污染
2014-02-01,62,40,73,8,30,0.8,57,33,良
2014-02-02,56,38,63,11,31,0.9,59,20,良
2014-02-03,54,38,58,8,24,1.3,65,45,良
2014-02-04,30,18,29,6,17,1.2,60,2,优
2014-02-05,32,16,32,6,27,1.0,49,12,优
2014-02-06,27,9,27,8,30,0.7,38,22,优
2014-02-07,23,8,23,6,34,0.6,33,13,优
2014-02-08,21,10,21,6,25,0.7,40,3,优
2014-02-09,22,8,19,5,28,0.9,44,14,优
2014-02-10,31,17,31,8,25,0.9,41,10,优
2014-02-11,34,24,34,8,23,0.7,57,2,优
2014-02-12,41,27,41,8,35,0.8,57,7,优
2014-02-13,29,17,29,7,36,0.8,33,6,优
2014-02-14,33,18,33,8,26,0.8,34,3,优
2014-02-15,57,41,61,8,37,0.8,47,18,良
2014-02-16,48,29,48,8,53,1.0,30,21,优
2014-02-17,58,38,67,11,52,1.1,45,65,良
2014-02-18,20,12,20,9,34,0.9,40,3,优
2014-02-19,16,8,16,5,30,1.0,25,2,优
2014-02-20,28,14,24,6,28,0.8,55,1,优
2014-02-21,59,42,68,13,45,0.7,77,16,良
2014-02-22,58,37,66,15,54,0.7,55,12,良
2014-02-23,62,41,74,14,66,0.8,52,15,良
2014-02-24,65,36,80,14,72,0.8,37,32,良
2014-02-25,64,41,78,19,71,0.8,51,56,良
2014-02-26,61,41,72,17,68,1.0,60,34,良
2014-02-27,42,26,42,9,36,0.7,60,10,优
2014-02-28,59,31,68,13,62,0.8,54,75,良
2014-03-01,63,41,75,15,52,1.0,58,91,良
2014-03-02,32,15,24,8,32,0.8,63,10,优
2014-03-03,43,21,43,8,34,0.9,64,15,优
