time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,84,62,115,116,58,3.5,20,32,良
2014-01-02,64,42,79,49,52,2.2,30,10,良
2014-01-03,85,63,120,96,50,2.7,29,45,良
2014-01-04,72,45,94,79,48,2.0,31,26,良
2014-01-05,82,60,111,101,53,2.7,27,18,良
2014-01-06,90,67,130,60,48,2.2,36,30,良
2014-01-07,92,44,133,35,35,1.2,34,66,良
2014-01-08,78,50,106,50,34,1.4,34,103,良
2014-01-09,123,93,146,119,46,2.4,28,153,轻度污染
2014-01-10,110,83,131,46,48,1.9,35,100,轻度污染
2014-01-11,121,91,141,63,45,2.2,36,100,轻度污染
2014-01-12,112,85,137,86,51,2.4,29,102,轻度污染
2014-01-13,133,101,167,105,55,3.0,30,143,轻度污染
2014-01-14,123,94,154,90,47,2.8,29,102,轻度污染
2014-01-15,158,120,192,104,52,3.2,26,111,中度污染
2014-01-16,126,96,158,79,51,2.2,26,73,轻度污染
2014-01-17,142,109,168,99,53,2.8,23,70,轻度污染
2014-01-18,157,120,225,101,47,2.5,31,84,中度污染
2014-01-19,137,73,224,47,40,1.3,32,74,轻度污染
2014-01-20,134,102,203,76,45,2.1,29,104,轻度污染
2014-01-21,96,72,129,92,39,2.3,23,104,良
2014-01-22,133,102,167,123,51,2.8,24,144,轻度污染
2014-01-23,146,112,202,130,54,3.2,22,139,轻度污染
2014-01-24,120,64,189,42,34,1.3,37,89,轻度污染
2014-01-25,91,59,133,50,36,1.3,38,66,良
2014-01-26,105,79,140,57,42,1.8,37,119,轻度污染
2014-01-27,125,95,168,73,45,2.3,38,130,轻度污染
2014-01-28,88,60,125,43,31,1.4,41,96,良
2014-01-29,120,68,191,43,29,1.3,42,122,轻度污染
2014-01-30,136,103,189,71,40,2.0,39,78,轻度污染
2014-01-31,203,153,230,98,35,2.1,40,79,重度污染
2014-02-01,97,73,125,69,32,1.7,48,75,良
2014-02-02,90,67,120,63,32,1.8,42,60,良
2014-02-03,105,67,161,47,32,1.5,43,146,轻度污染
2014-02-04,113,64,175,42,25,1.4,45,168,轻度污染
2014-02-05,108,72,167,39,24,1.4,49,176,轻度污染
2014-02-06,106,70,162,31,21,1.4,44,164,轻度污染
2014-02-07,179,119,307,46,39,1.8,33,175,中度污染
2014-02-08,124,81,198,20,20,1.1,45,164,轻度污染
2014-02-09,89,66,119,25,21,1.2,44,169,良
2014-02-10,136,104,157,60,28,1.7,39,186,轻度污染
2014-02-11,119,90,138,53,23,1.4,45,159,轻度污染
2014-02-12,86,64,93,42,20,1.2,45,76,良
2014-02-13,115,87,133,56,27,1.6,40,120,轻度污染
2014-02-14,131,99,147,61,25,1.4,44,116,轻度污染
2014-02-15,129,98,138,54,25,1.4,46,98,轻度污染
2014-02-16,74,54,72,41,18,1.1,49,67,良
2014-02-17,144,110,136,69,31,1.8,45,153,轻度污染
2014-02-18,100,75,141,44,26,1.3,44,160,良
2014-02-19,77,57,103,61,28,1.6,41,79,良
2014-02-20,107,81,123,62,29,2.0,26,104,轻度污染
2014-02-21,96,72,116,42,38,1.8,41,53,良
2014-02-22,137,104,150,32,36,1.8,52,94,轻度污染
2014-02-23,137,104,155,30,36,1.8,55,111,轻度污染
2014-02-24,150,115,170,41,40,1.9,62,106,轻度污染
2014-02-25,135,103,193,40,35,1.8,56,95,轻度污染
2014-02-26,116,49,182,12,21,0.9,49,101,轻度污染
2014-02-27,83,44,115,21,28,1.1,41,82,良
2014-02-28,87,40,124,16,26,0.9,43,141,良
2014-03-01,90,43,130,19,31,1.1,39,138,良
2014-03-02,87,42,124,21,29,1.0,39,92,良
2014-03-03,120,71,190,24,34,1.3,47,140,轻度污染
2014-03-04,101,38,151,19,28,1.1,43,144,轻度污染
2014-03-05,90,39,131,18,26,1.1,36,131,良
2014-03-06,83,48,115,26,29,1.0,39,129,良
2014-03-07,80,51,110,16,27,1.2,41,130,良
2014-03-08,88,65,120,17,32,1.2,39,117,良
2014-03-09,86,64,123,32,36,1.3,39,99,良
2014-03-10,107,81,145,37,41,1.5,43,111,轻度污染
2014-03-11,125,74,200,24,37,1.3,45,129,轻度污染
2014-03-12,90,35,130,13,28,0.9,43,116,良
2014-03-13,86,55,122,21,32,1.2,34,131,良
2014-03-14,98,72,146,42,43,1.7,32,138,良
2014-03-15,108,78,166,52,45,1.8,29,123,轻度污染
2014-03-16,109,70,168,57,46,1.8,36,98,轻度污染
2014-03-17,156,74,262,20,41,1.3,40,149,中度污染
2014-03-18,158,87,267,51,57,2.3,33,130,中度污染
2014-03-19,190,69,329,16,35,1.1,28,181,中度污染
2014-03-20,96,37,142,15,33,0.9,28,163,良
2014-03-21,119,77,188,46,41,1.4,40,180,轻度污染
2014-03-22,98,69,146,36,44,1.5,43,136,良
2014-03-23,81,52,112,31,41,1.2,43,58,良
2014-03-24,85,63,100,29,29,1.1,48,71,良
2014-03-25,95,69,141,48,34,1.4,49,76,良
2014-03-26,98,69,146,42,38,1.4,49,77,良
2014-03-27,151,63,252,35,34,1.0,57,142,中度污染
2014-03-28,121,55,193,21,25,1.0,51,147,轻度污染
2014-03-29,114,67,178,45,32,1.2,50,129,轻度污染
2014-03-30,76,56,99,14,25,0.9,49,55,良
2014-03-31,82,60,91,18,27,1.0,51,92,良
2014-04-01,90,67,109,27,32,1.1,57,111,良
2014-04-02,67,49,70,18,21,0.8,67,61,良
2014-04-03,61,42,73,31,24,0.9,50,45,良
2014-04-04,100,75,117,33,31,1.2,58,140,良
2014-04-05,94,70,118,32,33,1.1,63,129,良
2014-04-06,77,57,101,22,31,1.1,56,89,良
2014-04-07,87,65,123,34,37,1.1,56,103,良
2014-04-08,93,67,136,39,39,1.1,60,72,良
2014-04-09,85,62,121,33,34,1.2,56,59,良
2014-04-10,87,64,124,14,25,0.9,54,73,良
2014-04-11,115,87,125,33,31,1.2,52,159,轻度污染
2014-04-12,90,67,120,24,31,0.9,49,120,良
2014-04-13,92,60,134,41,31,1.1,58,119,良
2014-04-14,82,55,115,36,34,1.1,57,61,良
2014-04-15,91,68,132,58,37,1.4,58,100,良
2014-04-16,85,63,114,23,21,0.9,57,129,良
2014-04-17,67,48,83,18,18,0.7,56,60,良
2014-04-18,53,38,52,27,26,0.9,53,24,良
2014-04-19,50,35,50,20,18,0.9,52,43,优
2014-04-20,53,38,49,17,20,0.8,48,33,良
2014-04-21,58,41,62,19,18,0.8,54,58,良
2014-04-22,94,70,124,30,27,1.2,60,134,良
2014-04-23,86,64,120,36,22,1.1,71,89,良
2014-04-24,458,156,558,17,25,0.8,63,182,严重污染
2014-04-25,330,156,444,19,20,0.9,41,188,严重污染
2014-04-26,275,107,403,25,20,1.0,57,187,重度污染
2014-04-27,163,82,276,29,23,1.1,62,181,中度污染
2014-04-28,110,58,169,31,22,1.0,69,171,轻度污染
2014-04-29,121,65,193,37,32,1.0,66,174,轻度污染
2014-04-30,164,76,279,54,25,1.3,68,182,中度污染
2014-05-01,187,71,324,16,20,0.7,61,185,中度污染
2014-05-02,87,44,125,17,16,0.7,53,84,良
2014-05-03,100,55,150,33,25,1.0,65,145,良
2014-05-04,85,40,120,24,20,0.8,67,150,良
2014-05-05,75,41,100,41,20,0.9,68,107,良
2014-05-06,81,45,112,25,26,0.9,69,92,良
2014-05-07,96,55,143,46,29,1.1,49,113,良
2014-05-08,90,55,129,48,33,1.2,72,86,良
2014-05-10,140,93,229,18,17,0.8,69,189,轻度污染
2014-05-11,69,42,89,30,21,0.9,66,147,良
2014-05-12,84,48,117,36,24,1.0,72,121,良
2014-05-13,76,36,103,26,14,0.8,76,60,良
2014-05-14,76,39,102,21,15,0.7,73,85,良
2014-05-15,66,41,82,23,23,0.9,75,62,良
2014-05-16,77,55,104,38,31,1.1,80,63,良
2014-05-17,71,52,91,36,29,1.0,71,52,良
2014-05-18,75,55,86,36,31,1.5,55,83,良
2014-05-19,76,56,92,34,29,1.0,79,82,良
2014-05-20,91,68,131,50,34,1.2,87,88,良
2014-05-21,91,66,132,51,31,1.1,87,74,良
2014-05-22,78,50,106,36,31,1.0,71,60,良
2014-05-23,71,51,93,23,24,0.9,70,77,良
2014-05-24,135,78,219,16,23,0.7,65,180,轻度污染
2014-05-25,123,63,196,25,23,0.8,52,152,轻度污染
2014-05-26,105,59,160,36,27,1.1,56,109,轻度污染
2014-05-27,85,53,121,38,30,1.2,61,52,良
2014-05-28,96,62,141,56,34,1.3,70,91,良
2014-05-29,76,46,101,52,26,1.1,77,45,良
2014-05-30,77,44,105,48,29,1.0,78,56,良
2014-05-31,76,47,102,45,27,1.0,83,64,良
2014-06-01,95,62,139,49,30,1.1,106,123,良
2014-06-02,79,58,107,34,20,0.9,110,122,良
2014-06-03,94,70,122,26,19,0.9,102,148,良
2014-06-04,74,51,98,28,21,0.8,82,86,良
2014-06-05,69,49,89,50,26,1.0,76,69,良
