time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,139,106,148,87,71,1.5,73,109,轻度污染
2014-01-02,142,109,140,78,59,1.4,78,85,轻度污染
2014-01-03,110,83,107,67,35,1.1,88,66,轻度污染
2014-01-04,122,92,122,116,66,1.3,83,94,轻度污染
2014-01-05,151,116,162,89,65,1.5,81,93,中度污染
2014-01-06,190,143,177,63,52,1.4,58,113,中度污染
2014-01-07,119,90,115,48,36,1.0,63,98,轻度污染
2014-01-08,109,83,90,40,33,1.1,51,138,轻度污染
2014-01-09,122,92,100,64,33,1.1,61,152,轻度污染
2014-01-10,75,55,45,24,36,1.4,37,35,良
2014-01-11,53,37,39,43,29,1.3,26,9,良
2014-01-12,59,42,42,40,29,1.2,28,31,良
2014-01-13,83,61,58,47,34,1.2,68,70,良
2014-01-14,131,100,134,70,54,1.8,53,111,轻度污染
2014-01-15,133,101,114,70,55,1.6,45,86,轻度污染
2014-01-16,156,119,131,98,58,1.4,36,100,中度污染
2014-01-17,145,111,126,106,45,1.3,83,74,轻度污染
2014-01-18,122,93,109,67,50,1.2,84,65,轻度污染
2014-01-19,114,87,107,59,41,1.0,84,50,轻度污染
2014-01-20,77,57,69,52,29,0.9,81,41,良
2014-01-21,157,120,143,86,64,1.6,51,177,中度污染
2014-01-22,111,84,113,75,51,1.2,93,121,轻度污染
2014-01-23,101,76,97,51,47,0.9,105,61,轻度污染
2014-01-24,107,81,104,47,38,0.9,129,78,轻度污染
2014-01-25,183,138,163,83,50,1.3,132,139,中度污染
2014-01-26,157,120,132,52,37,1.1,105,154,中度污染
2014-01-27,148,113,117,60,34,1.2,42,148,轻度污染
2014-01-28,147,112,109,55,38,1.5,34,140,轻度污染
2014-01-29,133,102,108,68,40,1.7,47,132,轻度污染
2014-01-30,136,104,95,52,28,1.3,69,77,轻度污染
2014-01-31,82,61,65,28,16,0.6,76,15,良
2014-02-01,67,49,54,27,21,0.7,85,41,良
2014-02-02,86,64,73,36,27,0.9,81,54,良
2014-02-03,100,75,86,31,23,1.0,57,136,良
2014-02-04,84,62,64,20,16,0.7,88,150,良
2014-02-05,54,38,45,14,14,0.7,88,105,良
2014-02-06,46,32,44,15,13,1.0,46,92,优
2014-02-07,44,31,28,24,14,0.9,50,67,优
2014-02-08,29,20,22,20,15,0.8,50,15,优
