time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,149,114,162,62,41,1.5,13,123,轻度污染
2014-01-02,176,133,186,62,40,1.3,15,127,中度污染
2014-01-03,209,159,230,56,52,1.6,29,141,重度污染
2014-01-04,206,156,226,42,55,1.7,40,166,重度污染
2014-01-05,210,160,214,37,47,1.6,33,145,重度污染
2014-01-06,202,152,207,41,44,1.8,7,124,重度污染
2014-01-07,159,121,160,49,38,1.4,11,127,中度污染
2014-01-08,118,89,110,44,36,1.2,9,146,轻度污染
2014-01-09,117,89,114,40,36,1.3,9,149,轻度污染
2014-01-10,97,73,95,31,36,1.3,12,82,良
2014-01-11,111,84,114,43,39,1.5,9,88,轻度污染
2014-01-12,122,92,119,39,37,1.6,7,112,轻度污染
2014-01-13,107,81,112,40,39,1.4,36,107,轻度污染
2014-01-14,105,79,113,31,41,1.5,43,84,轻度污染
2014-01-15,136,103,158,49,50,1.6,24,93,轻度污染
2014-01-16,198,149,195,56,43,1.7,11,123,中度污染
2014-01-17,190,143,194,56,53,1.7,20,108,中度污染
2014-01-18,164,125,178,37,48,1.6,47,88,中度污染
2014-01-19,203,153,208,51,44,1.6,32,119,重度污染
2014-01-20,153,117,174,46,44,1.5,44,123,中度污染
2014-01-21,177,134,183,31,41,1.4,28,183,中度污染
2014-01-22,143,109,174,38,56,1.4,49,160,轻度污染
2014-01-23,162,123,204,68,73,1.7,32,150,中度污染
2014-01-24,197,148,226,70,69,1.7,50,145,中度污染
2014-01-25,201,151,220,65,63,1.6,47,151,重度污染
2014-01-26,221,171,235,50,59,1.9,40,168,重度污染
2014-01-27,182,137,185,37,48,1.8,23,154,中度污染
2014-01-28,239,189,247,64,48,2.0,13,167,重度污染
2014-01-29,232,182,238,45,48,2.0,27,166,重度污染
2014-01-30,201,151,210,30,38,1.8,35,109,重度污染
2014-01-31,248,198,266,28,31,1.7,28,120,重度污染
2014-02-01,224,174,233,27,35,1.8,35,154,重度污染
2014-02-02,194,146,198,24,32,1.8,49,113,中度污染
2014-02-03,173,131,175,24,35,2.1,38,173,中度污染
2014-02-04,140,107,144,21,28,1.9,53,175,轻度污染
2014-02-05,65,47,66,19,24,1.9,56,128,良
2014-02-06,47,33,43,15,18,1.6,22,95,优
2014-02-07,55,39,52,14,22,1.1,9,86,良
2014-02-08,53,37,49,13,19,1.1,14,58,良
2014-02-09,26,18,25,12,18,0.9,23,21,优
2014-02-10,63,46,59,23,20,1.2,45,123,良
2014-02-11,86,64,82,33,25,1.2,38,108,良
2014-02-12,87,65,84,30,24,1.0,56,77,良
2014-02-13,97,73,99,37,30,1.0,63,103,良
2014-02-14,117,89,121,45,37,1.1,50,99,轻度污染
2014-02-15,123,93,130,40,40,1.1,37,91,轻度污染
2014-02-16,138,105,147,47,40,1.1,31,135,轻度污染
2014-02-17,160,122,164,40,36,1.2,28,161,中度污染
2014-02-18,65,47,65,25,26,1.1,24,92,良
2014-02-19,78,58,82,28,34,1.2,55,84,良
2014-02-20,81,60,82,35,34,1.1,44,75,良
2014-02-21,154,118,172,67,56,1.5,32,114,中度污染
2014-02-22,189,142,197,66,52,1.5,23,153,中度污染
2014-02-23,223,173,242,80,52,1.7,20,158,重度污染
2014-02-24,193,145,202,52,50,1.8,8,140,中度污染
2014-02-25,140,107,151,39,41,1.6,14,102,轻度污染
2014-02-26,97,73,109,33,42,1.4,14,86,良
2014-02-27,84,63,88,30,39,1.4,10,86,良
2014-02-28,51,33,52,20,29,1.1,14,47,良
2014-03-01,51,32,52,35,32,1.3,9,49,良
2014-03-02,42,28,42,27,30,1.3,11,21,优
2014-03-03,56,38,63,30,32,1.1,31,35,良
2014-03-04,66,48,79,43,35,1.2,39,74,良
2014-03-05,80,59,99,33,38,1.2,46,111,良
2014-03-06,71,52,80,28,31,0.9,48,117,良
2014-03-07,50,28,50,23,29,0.9,62,42,优
2014-03-08,59,38,68,48,35,1.0,41,64,良
2014-03-09,82,60,100,41,36,1.1,74,94,良
2014-03-10,87,65,109,49,41,1.2,88,81,良
2014-03-11,85,63,103,51,40,1.1,94,58,良
2014-03-12,107,81,128,74,43,1.1,73,138,轻度污染
2014-03-13,91,68,110,34,36,1.2,44,144,良
2014-03-14,59,38,69,23,31,0.8,37,9,良
2014-03-15,69,51,80,34,39,1.2,45,12,良
2014-03-16,81,60,102,38,42,1.2,116,31,良
2014-03-17,94,70,119,50,53,1.3,109,53,良
2014-03-18,136,104,164,66,57,1.4,137,104,轻度污染
