time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,50,26,51,50,25,0.6,55,2,优
2014-01-02,75,47,100,64,44,1.0,47,19,良
2014-01-03,118,90,136,79,54,1.1,40,71,轻度污染
2014-01-04,142,109,148,72,63,1.5,43,112,轻度污染
2014-01-05,245,195,264,92,82,2.3,37,165,重度污染
2014-01-06,170,129,172,94,61,1.5,53,94,中度污染
2014-01-07,91,67,98,67,37,1.0,48,64,良
2014-01-08,59,34,68,51,29,0.6,53,61,良
2014-01-09,71,52,83,62,38,0.8,53,86,良
2014-01-10,79,59,90,78,44,0.8,48,45,良
2014-01-11,78,57,98,80,42,0.8,49,43,良
2014-01-12,93,69,101,59,39,0.8,50,87,良
2014-01-13,114,86,123,70,49,1.1,52,116,轻度污染
2014-01-14,132,101,141,82,57,1.4,48,114,轻度污染
2014-01-15,142,109,149,110,58,1.5,42,99,轻度污染
2014-01-16,163,124,161,78,53,1.3,54,106,中度污染
2014-01-17,166,126,166,100,62,1.4,46,91,中度污染
2014-01-18,158,121,160,73,51,1.3,46,86,中度污染
2014-01-19,96,72,98,81,44,1.1,45,24,良
2014-01-20,135,103,125,84,54,1.3,51,105,轻度污染
2014-01-21,208,158,200,88,60,1.6,40,188,重度污染
2014-01-22,137,104,138,121,68,1.6,49,151,轻度污染
2014-01-23,107,81,111,96,43,1.1,68,76,轻度污染
2014-01-24,168,128,158,77,51,1.4,70,131,中度污染
2014-01-25,150,115,148,62,56,1.3,50,118,轻度污染
2014-01-26,70,51,80,75,39,0.9,58,70,良
2014-01-27,78,35,106,66,27,0.7,50,76,良
2014-01-28,59,33,68,56,24,0.7,61,44,良
2014-01-29,79,47,107,70,29,0.9,58,63,良
2014-01-30,88,66,98,76,27,0.9,60,43,良
2014-01-31,214,164,217,102,39,1.3,65,91,重度污染
2014-02-01,176,133,165,100,40,1.5,78,129,中度污染
2014-02-02,155,46,261,52,16,0.8,77,101,中度污染
2014-02-03,53,22,57,44,15,0.7,63,42,良
2014-02-04,53,30,55,58,22,0.8,59,81,良
2014-02-05,79,58,86,72,33,1.1,59,151,良
2014-02-06,90,67,93,71,35,1.2,54,147,良
2014-02-07,98,73,103,90,39,1.1,44,135,良
2014-02-08,91,68,95,64,32,1.0,68,140,良
2014-02-09,74,54,77,57,35,0.8,62,133,良
2014-02-10,81,60,87,68,41,1.0,65,146,良
2014-02-11,78,58,86,84,46,1.0,66,93,良
2014-02-12,141,108,149,80,57,1.3,72,144,轻度污染
2014-02-13,104,79,106,84,52,1.1,68,110,轻度污染
2014-02-14,130,99,155,90,49,1.3,64,114,轻度污染
2014-02-15,168,128,166,117,55,1.4,60,125,中度污染
2014-02-16,140,107,139,83,51,1.2,68,138,轻度污染
2014-02-17,166,126,164,68,64,1.4,66,164,中度污染
2014-02-18,99,74,102,57,50,1.1,66,159,良
2014-02-19,97,73,116,87,59,1.2,73,115,良
2014-02-20,95,71,102,78,53,1.2,59,90,良
2014-02-21,90,67,101,69,56,1.1,82,49,良
2014-02-22,130,99,146,82,68,1.2,80,87,轻度污染
2014-02-23,113,85,120,79,69,1.1,67,76,轻度污染
2014-02-24,214,164,225,107,78,1.8,69,146,重度污染
2014-02-25,278,228,286,83,67,2.0,76,165,重度污染
2014-02-26,185,140,195,75,42,1.3,103,152,中度污染
2014-02-27,56,29,61,37,26,0.6,82,39,良
2014-02-28,55,29,60,72,37,0.6,55,62,良
2014-03-01,60,38,71,48,32,0.6,69,81,良
2014-03-02,63,44,75,58,39,0.7,68,56,良
2014-03-03,62,41,74,59,37,0.7,68,51,良
2014-03-04,64,42,77,55,33,0.7,70,65,良
2014-03-05,65,39,80,50,32,0.7,68,73,良
2014-03-06,58,29,67,49,27,0.6,63,85,良
2014-03-07,65,33,81,51,36,0.7,65,95,良
2014-03-08,74,43,98,62,43,0.9,66,94,良
2014-03-09,72,44,93,56,41,0.9,61,76,良
2014-03-10,81,57,113,73,48,1.1,73,69,良
2014-03-11,110,83,132,75,46,1.1,56,104,轻度污染
2014-03-12,143,109,153,46,48,1.1,59,176,轻度污染
2014-03-13,116,88,132,53,59,1.1,83,178,轻度污染
2014-03-14,92,69,124,60,55,0.9,93,116,良
2014-03-15,105,79,141,65,47,1.0,94,118,轻度污染
2014-03-16,98,73,121,54,53,0.9,95,81,良
2014-03-17,88,66,111,48,50,1.0,56,36,良
2014-03-18,64,44,77,42,39,0.8,74,23,良
2014-03-19,80,54,110,53,50,1.0,78,59,良
2014-03-20,51,34,52,30,32,0.6,65,14,良
2014-03-21,64,43,79,59,49,0.9,75,55,良
2014-03-22,73,52,96,54,55,0.9,91,58,良
2014-03-23,105,79,137,51,63,1.1,103,120,轻度污染
2014-03-24,144,103,238,58,51,1.3,114,163,轻度污染
2014-03-25,182,138,207,79,64,1.3,127,155,中度污染
2014-03-26,237,187,276,59,75,1.6,119,174,重度污染
