time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2014-01-01,195,146,173,72,107,2.3,47,169,中度污染
2014-01-02,197,148,176,70,113,2.1,41,147,中度污染
2014-01-03,260,210,187,71,83,1.7,25,171,重度污染
2014-01-04,154,118,148,56,83,1.4,65,127,中度污染
2014-01-05,158,121,142,50,87,1.6,65,103,中度污染
2014-01-06,170,129,143,49,82,1.5,50,93,中度污染
2014-01-07,238,188,39,26,63,1.9,10,159,重度污染
2014-01-09,191,144,68,40,62,1.7,47,180,中度污染
2014-01-10,180,136,40,33,67,1.9,15,153,中度污染
2014-01-11,70,51,32,19,42,1.1,32,30,良
2014-01-12,131,100,48,39,47,1.2,55,123,轻度污染
2014-01-13,211,161,109,51,75,1.8,46,177,重度污染
2014-01-14,213,163,193,44,77,2.1,54,157,重度污染
2014-01-15,153,117,113,34,72,1.5,62,108,中度污染
2014-01-16,177,134,168,37,77,1.6,56,115,中度污染
2014-01-17,265,215,219,53,59,1.6,81,161,重度污染
2014-01-18,236,186,128,44,66,1.6,66,134,重度污染
2014-01-19,182,137,161,46,75,1.5,77,104,中度污染
2014-01-20,202,152,134,46,58,1.4,76,161,重度污染
2014-01-21,100,75,110,31,72,1.2,51,123,良
2014-01-22,100,75,108,45,66,1.3,76,98,良
2014-01-23,111,84,122,44,65,1.3,83,80,轻度污染
2014-01-24,120,91,126,41,57,1.3,120,90,轻度污染
2014-01-25,219,169,191,50,64,1.9,73,165,重度污染
2014-01-26,309,259,127,60,65,2.5,61,185,严重污染
2014-01-27,356,306,101,49,77,3.0,65,186,严重污染
2014-01-28,319,269,94,34,63,2.5,51,181,严重污染
2014-01-29,295,245,94,26,45,2.1,37,181,重度污染
2014-01-30,276,226,154,40,51,2.5,84,164,重度污染
2014-01-31,320,270,219,54,40,1.7,109,155,严重污染
2014-02-01,117,89,108,38,38,1.4,111,91,轻度污染
2014-02-02,222,172,143,29,41,1.9,103,132,重度污染
2014-02-03,201,151,162,20,35,2.2,80,178,重度污染
2014-02-04,90,67,31,14,26,1.6,42,156,良
2014-02-05,50,35,1,10,22,1.0,26,95,优
2014-02-06,45,32,3,8,20,1.0,29,86,优
2014-02-07,102,76,24,20,26,1.2,29,138,轻度污染
2014-02-08,74,54,13,14,28,1.2,28,106,良
2014-02-09,89,67,34,18,24,1.2,48,168,良
2014-02-10,119,90,4,29,26,1.5,55,178,轻度污染
2014-02-11,88,65,39,29,26,1.1,66,111,良
2014-02-12,106,80,27,22,31,1.2,61,116,轻度污染
2014-02-13,111,84,30,22,26,1.2,63,114,轻度污染
2014-02-14,133,102,32,18,35,1.3,62,119,轻度污染
2014-02-15,108,82,70,20,41,1.4,47,66,轻度污染
2014-02-16,95,71,67,13,36,1.2,25,97,良
2014-02-17,92,69,24,13,32,1.3,21,124,良
2014-02-18,50,35,19,12,28,1.4,36,55,优
2014-02-19,63,46,47,21,30,1.0,68,54,良
2014-02-20,77,57,70,43,37,1.3,52,64,良
2014-02-21,89,66,119,50,66,1.9,64,48,良
2014-02-22,142,109,147,39,63,2.3,37,100,轻度污染
2014-02-23,222,172,162,35,50,2.4,28,157,重度污染
2014-02-24,92,69,33,19,41,2.0,14,45,良
2014-02-25,64,46,28,16,26,1.5,24,55,良
2014-02-26,104,78,94,17,33,1.4,41,90,轻度污染
2014-02-27,93,69,75,18,43,1.7,27,105,良
2014-02-28,19,14,9,12,28,1.4,16,2,优
2014-03-01,54,38,47,12,26,1.1,23,57,良
2014-03-02,72,52,59,15,32,1.3,22,68,良
2014-03-03,72,52,63,15,37,1.5,14,73,良
2014-03-04,124,94,105,25,36,1.4,27,164,轻度污染
2014-03-05,156,119,129,31,51,2.0,36,182,中度污染
2014-03-06,78,57,51,17,41,1.1,46,126,良
2014-03-07,40,28,33,10,32,0.8,56,24,优
2014-03-08,45,32,41,14,31,0.9,40,29,优
2014-03-09,76,56,82,18,47,1.4,68,84,良
2014-03-10,98,73,103,37,50,1.4,62,97,良
2014-03-11,79,59,72,32,43,1.4,39,46,良
2014-03-12,68,50,56,18,33,1.3,27,64,良
2014-03-13,126,96,149,21,30,1.0,39,179,轻度污染
2014-03-14,117,88,120,30,61,1.5,44,168,轻度污染
2014-03-15,122,92,130,53,54,1.7,59,148,轻度污染
2014-03-16,80,59,81,38,38,1.3,62,29,良
2014-03-17,60,40,70,37,38,1.4,75,7,良
2014-03-18,67,49,73,28,36,1.2,75,29,良
2014-03-19,155,118,158,18,32,1.3,49,175,中度污染
2014-03-20,91,67,88,15,25,0.8,57,149,良
2014-03-21,56,40,58,21,34,0.8,90,24,良
2014-03-22,94,70,103,32,56,1.3,82,121,良
2014-03-23,151,116,142,37,65,1.8,33,164,中度污染
2014-03-24,121,92,83,32,52,1.9,27,140,轻度污染
2014-03-25,97,73,88,25,47,1.6,75,85,良
2014-03-26,91,68,91,29,48,1.5,69,54,良
2014-03-27,62,45,63,19,48,1.2,37,28,良
2014-03-28,52,36,53,19,39,1.1,50,22,良
2014-03-29,63,34,76,16,32,0.7,100,51,良
2014-03-30,90,67,96,14,41,1.0,71,87,良
2014-03-31,79,58,76,17,31,0.9,96,82,良
2014-04-01,79,58,77,28,44,1.3,86,85,良
2014-04-02,120,91,122,46,75,1.5,67,167,轻度污染
2014-04-03,132,101,125,39,59,1.2,106,182,轻度污染
2014-04-04,122,92,122,23,49,1.0,107,172,轻度污染
2014-04-05,145,111,146,23,62,1.2,124,175,轻度污染
2014-04-06,100,75,41,10,35,0.9,78,154,良
2014-04-07,94,70,73,16,41,1.1,57,125,良
2014-04-08,102,76,107,26,53,1.7,88,85,轻度污染
2014-04-09,104,78,117,28,54,1.7,122,92,轻度污染
2014-04-10,86,64,96,27,43,1.0,108,71,良
2014-04-11,96,72,103,23,35,1.1,72,122,良
2014-04-12,59,42,54,9,23,1.1,38,45,良
2014-04-13,76,56,72,12,22,1.0,92,83,良
2014-04-14,72,52,75,19,39,1.0,90,44,良
2014-04-15,83,61,96,21,41,1.1,79,83,良
2014-04-16,119,90,107,16,29,1.0,42,180,轻度污染
2014-04-17,61,44,65,16,27,0.9,42,44,良
2014-04-18,99,74,112,25,33,1.0,80,145,良
2014-04-19,40,28,32,9,20,0.7,58,14,优
2014-04-20,45,32,42,9,22,0.6,58,15,优
2014-04-21,45,31,36,12,28,1.1,42,21,优
2014-04-22,53,37,53,14,28,0.7,71,31,良
2014-04-23,66,48,57,13,46,1.0,47,47,良
2014-04-24,49,34,41,10,43,1.0,23,18,优
2014-04-25,37,26,32,14,36,1.2,22,9,优
2014-04-26,35,24,29,13,28,1.0,43,7,优
2014-04-27,70,39,89,18,25,0.7,102,100,良
2014-04-28,93,57,135,27,48,0.8,96,154,良
2014-04-29,111,84,136,34,56,1.1,66,153,轻度污染
2014-04-30,112,84,134,29,57,1.4,88,137,轻度污染
2014-05-01,101,76,133,35,57,1.2,123,81,轻度污染
2014-05-02,107,69,164,25,49,0.8,116,126,轻度污染
2014-05-03,109,64,167,29,33,1.0,84,164,轻度污染
2014-05-04,62,44,55,9,25,1.1,60,60,良
2014-05-05,84,62,95,16,27,0.9,86,140,良
2014-05-06,91,68,112,32,45,1.0,138,119,良
2014-05-07,104,78,115,33,43,1.1,98,136,轻度污染
2014-05-08,71,52,71,26,34,1.0,71,56,良
2014-05-09,30,21,27,12,23,0.8,48,7,优
2014-05-10,33,22,33,12,25,0.8,41,12,优
2014-05-11,48,16,25,12,21,0.8,96,61,优
2014-05-12,78,35,68,21,42,1.0,133,98,良
2014-05-13,83,62,93,24,41,1.1,88,88,良
2014-05-14,105,79,81,11,20,0.9,69,140,轻度污染
2014-05-15,68,44,86,24,30,0.7,70,69,良
2014-05-16,92,69,105,30,39,1.1,61,97,良
2014-05-17,129,99,119,12,23,0.9,57,170,轻度污染
2014-05-18,136,104,124,23,29,1.0,44,170,轻度污染
2014-05-19,154,118,134,20,40,1.2,39,176,中度污染
2014-05-20,118,90,131,20,49,1.5,98,133,轻度污染
2014-05-21,101,76,103,12,46,1.2,59,92,轻度污染
2014-05-22,93,69,88,12,27,1.0,46,81,良
2014-05-23,58,41,63,13,28,0.8,68,56,良
2014-05-24,60,43,68,15,28,0.9,43,78,良
2014-05-25,69,50,61,10,25,1.0,49,72,良
2014-05-26,156,99,263,24,29,0.6,65,173,中度污染
2014-05-27,117,80,183,26,34,0.8,97,102,轻度污染
2014-05-28,133,101,207,32,52,1.3,102,144,轻度污染
2014-05-29,111,84,143,17,41,1.1,59,84,轻度污染
2014-05-30,91,68,94,12,35,1.1,44,75,良
2014-05-31,64,46,69,10,25,0.9,65,50,良
2014-06-01,53,37,56,14,25,0.8,63,56,良
2014-06-02,67,49,69,15,23,1.0,117,95,良
2014-06-03,86,64,90,18,25,0.8,127,130,良
2014-06-04,107,80,104,19,37,1.0,103,162,轻度污染
2014-06-05,102,76,81,10,25,0.9,68,120,轻度污染
2014-06-06,137,105,126,20,25,0.9,85,156,轻度污染
2014-06-07,120,91,116,24,28,1.1,123,155,轻度污染
2014-06-08,139,106,152,27,37,1.1,125,168,轻度污染
2014-06-09,178,135,162,26,34,1.3,96,189,中度污染
2014-06-10,104,78,95,13,30,1.0,85,150,轻度污染
2014-06-11,119,90,121,18,31,1.0,128,172,轻度污染
2014-06-12,132,101,148,19,41,1.1,163,156,轻度污染
2014-06-13,311,261,268,19,34,1.6,169,189,严重污染
2014-06-14,132,100,124,22,30,0.9,147,128,轻度污染
2014-06-15,164,125,139,15,31,0.9,121,169,中度污染
2014-06-16,111,84,79,12,23,0.9,93,119,轻度污染
2014-06-17,69,50,64,17,36,1.1,61,82,良
2014-06-18,63,44,76,25,36,1.2,102,65,良
2014-06-19,52,35,55,17,34,1.0,60,52,良
2014-06-20,29,14,29,8,27,0.8,30,6,优
2014-06-21,61,44,56,11,25,1.0,61,106,良
2014-06-22,81,60,88,16,24,0.9,78,135,良
2014-06-23,103,77,98,16,32,1.1,67,161,轻度污染
2014-06-24,45,32,41,9,24,0.6,60,40,优
2014-06-25,60,33,70,14,33,0.9,81,76,良
2014-06-26,53,37,53,11,27,0.9,42,63,良
2014-06-27,45,30,45,12,22,0.7,47,38,优
2014-06-28,69,50,73,18,26,0.8,64,87,良
2014-06-29,46,24,46,11,23,0.8,69,31,优
2014-06-30,87,65,98,14,26,1.1,82,111,良
2014-07-01,95,71,108,16,36,1.2,73,128,良
2014-07-02,77,57,77,12,31,1.1,40,126,良
2014-07-03,57,33,64,11,35,1.1,36,42,良
2014-07-04,42,24,42,11,30,1.3,46,20,优
2014-07-05,41,25,41,11,19,0.6,63,27,优
2014-07-06,53,38,56,14,24,0.7,76,50,良
2014-07-07,62,44,74,14,34,0.8,100,54,良
2014-07-08,80,59,94,17,38,0.7,102,96,良
2014-07-09,106,80,129,20,42,0.8,116,159,轻度污染
2014-07-10,102,76,132,16,40,0.9,90,145,轻度污染
2014-07-11,87,65,110,13,33,0.9,104,98,良
2014-07-12,63,46,58,12,26,0.7,58,84,良
2014-07-13,39,27,35,12,22,0.5,51,31,优
2014-07-14,44,24,44,15,37,0.8,52,40,优
2014-07-15,48,30,48,16,39,1.0,34,50,优
2014-07-16,51,32,53,16,39,1.0,27,56,良
2014-07-17,64,39,67,19,26,0.8,117,78,良
2014-07-18,59,39,59,16,29,0.7,111,74,良
2014-07-19,37,20,37,9,20,0.7,71,31,优
2014-07-20,63,38,76,19,28,1.0,89,82,良
2014-07-21,73,50,93,17,31,1.0,127,104,良
2014-07-22,82,60,102,21,33,0.9,131,121,良
2014-07-23,97,72,122,14,28,0.8,122,161,良
2014-07-24,116,88,130,16,21,0.9,129,177,轻度污染
2014-07-25,110,83,126,20,31,0.9,108,166,轻度污染
2014-07-26,78,58,79,16,22,0.6,110,71,良
2014-07-27,60,37,69,15,30,0.8,104,51,良
2014-07-28,74,54,91,18,30,0.9,95,70,良
2014-07-29,55,30,61,20,25,0.6,97,31,良
2014-07-30,62,34,74,28,28,0.6,109,52,良
2014-07-31,74,50,99,24,34,0.7,114,111,良
2014-08-01,74,37,69,15,24,0.6,129,130,良
2014-08-02,61,44,67,18,21,0.6,104,90,良
2014-08-03,62,39,73,23,30,0.6,100,57,良
2014-08-04,68,44,84,23,27,0.8,121,69,良
2014-08-05,82,60,93,16,30,0.8,115,131,良
2014-08-06,87,47,78,14,27,0.8,144,153,良
2014-08-07,62,45,62,15,22,0.8,109,92,良
2014-08-08,75,55,68,13,18,0.8,79,116,良
2014-08-09,102,77,112,16,23,1.0,68,176,轻度污染
2014-08-10,120,91,118,17,23,1.1,109,172,轻度污染
2014-08-11,87,65,69,16,27,1.0,79,131,良
2014-08-12,30,21,14,14,19,0.7,58,9,优
2014-08-13,41,18,26,12,18,0.5,81,39,优
2014-08-14,53,35,56,20,26,0.7,99,82,良
2014-08-15,59,42,58,16,34,1.1,74,58,良
2014-08-16,52,36,54,19,28,1.0,81,41,良
2014-08-17,59,42,64,18,33,0.9,64,83,良
2014-08-18,39,27,24,12,21,0.7,63,28,优
2014-08-19,42,19,33,14,21,0.6,83,48,优
2014-08-20,78,47,80,18,31,0.9,133,103,良
2014-08-21,113,86,134,24,43,1.2,153,130,轻度污染
2014-08-22,87,64,94,23,34,1.0,116,104,良
2014-08-23,67,48,76,20,32,0.9,90,74,良
2014-08-24,50,35,39,13,24,0.7,70,48,优
2014-08-25,52,34,54,16,35,0.8,78,39,良
2014-08-26,62,45,60,13,26,0.8,78,61,良
2014-08-27,61,40,62,14,23,0.8,113,73,良
2014-08-28,78,57,83,19,28,1.0,122,125,良
2014-08-29,91,68,93,16,30,0.9,107,152,良
2014-08-30,73,37,71,20,31,0.7,128,116,良
2014-08-31,60,41,70,24,30,0.9,107,93,良
2014-09-01,69,51,75,13,27,0.8,65,136,良
2014-09-02,83,61,86,21,34,0.9,80,168,良
2014-09-03,42,28,40,18,27,0.7,84,41,优
2014-09-04,71,43,71,18,37,0.8,125,79,良
2014-09-05,57,40,56,18,32,0.9,85,35,良
2014-09-06,82,51,79,19,32,1.0,138,84,良
2014-09-07,97,73,102,24,39,1.1,137,130,良
2014-09-08,89,66,90,18,25,1.0,132,144,良
2014-09-09,109,82,116,17,27,1.1,118,171,轻度污染
2014-09-10,76,56,78,15,31,0.9,96,116,良
2014-09-11,70,51,74,18,30,0.9,108,123,良
2014-09-12,79,58,79,17,25,0.9,115,169,良
2014-09-13,45,32,27,13,18,0.7,59,66,优
2014-09-14,60,43,54,15,21,0.9,29,118,良
2014-09-15,55,39,42,14,22,1.1,28,113,良
2014-09-16,48,32,48,12,20,0.8,35,76,优
2014-09-17,63,45,66,14,21,1.0,31,148,良
2014-09-18,26,18,16,11,21,1.1,22,9,优
2014-09-19,23,16,22,14,24,1.1,31,1,优
2014-09-20,47,33,46,18,26,0.9,76,35,优
2014-09-21,65,41,69,21,38,1.0,118,99,良
2014-09-22,72,41,67,21,33,0.8,126,103,良
2014-09-23,71,52,76,22,32,0.8,96,127,良
2014-09-24,57,41,63,19,36,0.8,82,82,良
2014-09-25,101,76,115,23,46,1.0,116,141,轻度污染
2014-09-26,134,102,151,25,59,1.3,100,164,轻度污染
2014-09-27,110,83,127,21,49,1.2,110,137,轻度污染
2014-09-28,110,83,118,23,41,1.1,98,161,轻度污染
2014-09-29,71,51,62,13,20,1.0,48,133,良
2014-09-30,76,56,72,20,27,1.1,57,161,良
2014-10-01,70,51,72,18,33,1.1,51,121,良
2014-10-02,71,52,60,15,24,0.9,76,93,良
2014-10-03,75,55,84,23,39,0.9,93,95,良
2014-10-04,80,59,101,20,37,1.0,105,120,良
2014-10-05,121,92,141,26,29,1.0,129,169,轻度污染
2014-10-06,166,126,166,24,33,1.1,126,190,中度污染
2014-10-07,100,75,113,25,45,1.0,126,114,良
2014-10-08,104,78,112,23,45,1.0,134,108,轻度污染
2014-10-09,128,98,131,27,55,1.2,116,143,轻度污染
2014-10-10,131,100,129,29,50,1.1,127,150,轻度污染
2014-10-11,132,101,121,25,36,1.0,112,155,轻度污染
2014-10-12,186,141,162,21,29,1.1,125,190,中度污染
2014-10-13,133,102,135,21,31,0.9,112,184,轻度污染
2014-10-14,120,91,111,25,41,0.8,105,162,轻度污染
2014-10-15,143,109,144,22,66,1.1,120,160,轻度污染
2014-10-16,140,107,145,24,53,1.0,121,156,轻度污染
2014-10-17,299,249,261,30,46,1.4,112,190,重度污染
2014-10-18,249,199,238,32,61,1.3,123,184,重度污染
2014-10-19,152,117,164,31,57,1.2,113,165,中度污染
2014-10-20,146,111,161,30,62,1.2,94,161,轻度污染
2014-10-21,107,81,76,14,26,1.1,56,141,轻度污染
2014-10-22,74,54,54,22,32,0.8,85,65,良
2014-10-23,93,69,111,29,63,1.0,85,92,良
2014-10-24,113,85,143,34,67,1.3,98,131,轻度污染
2014-10-25,123,93,154,34,70,1.3,95,153,轻度污染
2014-10-26,137,105,163,35,71,1.3,97,167,轻度污染
2014-10-27,257,207,239,28,55,1.5,83,190,重度污染
2014-10-28,230,180,102,18,35,1.1,67,187,重度污染
2014-10-29,44,31,13,13,26,0.8,23,21,优
2014-10-30,24,17,14,14,27,0.9,23,1,优
2014-10-31,42,29,35,14,28,0.8,31,23,优
2014-11-01,104,78,72,18,32,1.1,52,135,轻度污染
2014-11-02,49,34,41,19,25,0.5,86,53,优
2014-11-03,59,24,68,26,36,0.5,78,60,良
