城市,年份,平均AQI,优,良,轻度污染,中度污染,重度污染
上海,2014,80.45753424657535,64,219,59,18,5
上海,2015,88.57260273972602,58,197,78,25,7
上海,2016,80.81967213114754,72,201,73,18,2
上海,2017,83.63013698630137,62,208,74,18,3
上海,2018,70.06575342465753,115,193,48,6,2
上海,2019,72.53424657534246,82,227,49,6,1
上海,2020,67.93989071038251,117,201,40,7,1
上海,2021,63.95068493150685,125,210,29,1,0
上海,2022,66.03013698630137,128,190,47,0,0
上海,2023,67.17808219178082,132,188,41,3,1
乌鲁木齐,2014,111.93388429752066,18,170,119,29,23
乌鲁木齐,2015,104.86301369863014,30,210,67,25,25
乌鲁木齐,2016,109.48633879781421,49,198,39,22,44
乌鲁木齐,2017,108.62191780821918,41,200,54,21,34
乌鲁木齐,2018,85.75068493150685,52,216,35,22,25
乌鲁木齐,2019,91.6054794520548,42,235,34,29,25
乌鲁木齐,2020,89.11475409836065,58,220,40,20,27
乌鲁木齐,2021,83.55890410958904,54,240,43,15,12
乌鲁木齐,2022,85.20547945205479,73,213,44,17,16
乌鲁木齐,2023,81.3890410958904,67,231,34,19,13
兰州,2014,90.06060606060606,19,247,80,10,5
兰州,2015,88.44383561643835,10,259,82,12,1
兰州,2016,99.95901639344262,10,230,91,27,2
兰州,2017,102.78082191780823,10,227,105,12,2
兰州,2018,69.7068493150685,33,216,68,0,0
兰州,2019,82.02191780821917,27,271,62,3,0
兰州,2020,78.44535519125684,30,280,53,3,0
兰州,2021,87.61643835616438,33,263,55,6,1
兰州,2022,81.0931506849315,25,278,54,7,0
兰州,2023,89.86027397260274,30,255,67,5,3
北京,2014,124.98630136986301,44,128,86,59,33
北京,2015,121.5095890410959,56,129,70,61,34
北京,2016,113.36986301369863,62,129,85,49,30
北京,2017,102.18630136986302,69,159,75,38,17
北京,2018,86.91232876712328,85,160,79,23,13
北京,2019,86.3972602739726,85,159,88,29,4
北京,2020,78.44535519125684,106,172,67,11,10
北京,2021,77.84383561643835,114,174,55,14,6
北京,2022,73.68493150684931,139,147,61,15,2
北京,2023,82.23013698630137,105,166,62,24,5
南京,2014,106.14246575342466,23,169,125,28,18
南京,2015,95.37808219178082,33,199,97,25,11
南京,2016,90.16666666666667,50,192,97,24,3
南京,2017,86.4876712328767,61,196,87,18,2
南京,2018,78.32328767123288,64,205,67,15,5
南京,2019,85.10684931506849,54,204,95,11,1
南京,2020,73.12021857923497,96,206,58,6,0
南京,2021,72.96986301369863,91,209,61,4,0
南京,2022,74.83287671232877,88,203,70,4,0
南京,2023,74.61917808219178,95,204,57,8,1
南宁,2014,73.61369863013698,96,200,48,16,5
南宁,2015,64.22191780821917,136,187,33,7,2
南宁,2016,58.94808743169399,148,199,18,0,1
南宁,2017,58.07397260273972,188,149,27,1,0
南宁,2018,53.44931506849315,199,151,13,1,0
南宁,2019,54.701369863013696,189,157,18,1,0
南宁,2020,49.82786885245902,220,137,8,1,0
南宁,2021,53.83013698630137,200,154,11,0,0
南宁,2022,51.30684931506849,206,148,11,0,0
南宁,2023,50.73150684931507,207,154,4,0,0
南昌,2014,75.17260273972603,88,208,52,13,3
南昌,2015,68.78356164383561,98,216,45,4,2
南昌,2016,73.61475409836065,97,223,33,8,4
南昌,2017,75.4904109589041,95,205,55,7,3
南昌,2018,63.1013698630137,131,206,28,0,0
南昌,2019,70.7013698630137,85,238,42,0,0
南昌,2020,65.06284153005464,125,211,28,2,0
南昌,2021,64.92602739726027,119,215,30,0,1
南昌,2022,68.95890410958904,112,201,48,4,0
南昌,2023,68.38630136986302,101,236,25,1,2
合肥,2014,107.4904109589041,25,180,108,25,21
合肥,2015,91.11232876712329,38,222,75,17,13
合肥,2016,89.29781420765028,49,212,75,23,7
合肥,2017,94.36438356164383,48,173,115,23,6
合肥,2018,79.10958904109589,61,220,57,15,4
合肥,2019,85.7068493150685,48,211,96,8,2
合肥,2020,71.4207650273224,95,217,47,7,0
合肥,2021,70.53424657534246,95,219,45,6,0
合肥,2022,73.89315068493151,74,242,41,8,0
合肥,2023,73.6082191780822,85,229,44,4,2
呼和浩特,2014,86.75616438356164,41,221,85,12,5
呼和浩特,2015,86.36438356164383,53,220,68,11,12
呼和浩特,2016,84.06557377049181,60,221,63,18,3
呼和浩特,2017,89.84657534246575,37,217,88,20,1
呼和浩特,2018,65.16986301369863,58,236,36,1,1
呼和浩特,2019,80.7095890410959,66,226,60,7,4
呼和浩特,2020,83.93989071038251,96,200,37,14,15
呼和浩特,2021,80.46575342465754,94,224,31,3,4
呼和浩特,2022,67.25753424657535,111,218,30,5,0
呼和浩特,2023,82.0931506849315,73,220,51,12,5
哈尔滨,2014,101.54395604395604,79,159,55,32,25
哈尔滨,2015,100.00821917808219,93,149,65,18,29
哈尔滨,2016,78.89890710382514,103,181,56,18,7
哈尔滨,2017,91.43287671232876,92,177,49,18,21
哈尔滨,2018,68.71232876712328,140,168,35,10,7
哈尔滨,2019,73.35890410958905,144,161,33,11,14
哈尔滨,2020,76.82513661202186,147,157,27,14,15
哈尔滨,2021,67.96712328767123,136,174,39,11,5
哈尔滨,2022,66.64109589041095,170,141,31,14,8
哈尔滨,2023,71.69041095890411,147,157,45,6,6
天津,2014,121.14520547945206,14,151,114,44,35
天津,2015,102.92328767123287,37,184,89,30,20
天津,2016,103.93442622950819,26,199,88,23,24
天津,2017,107.66027397260274,29,175,102,34,20
天津,2018,91.48219178082192,44,177,97,31,5
天津,2019,99.86575342465754,44,178,87,42,14
天津,2020,90.46994535519126,66,178,91,20,11
天津,2021,85.03835616438356,62,202,83,11,5
天津,2022,80.72602739726027,89,178,83,11,3
天津,2023,96.23013698630137,60,173,83,37,8
太原,2014,102.85753424657534,23,189,100,29,23
太原,2015,93.04109589041096,35,208,91,19,11
太原,2016,102.99726775956285,26,210,78,27,17
太原,2017,114.43287671232876,12,163,131,36,16
太原,2018,96.00821917808219,19,184,125,21,7
太原,2019,104.04383561643836,17,183,117,36,10
太原,2020,97.52732240437159,27,198,114,12,15
太原,2021,101.2904109589041,47,176,96,34,5
太原,2022,91.26575342465753,45,196,94,26,3
太原,2023,96.07671232876713,37,200,97,25,2
广州,2014,77.52602739726028,83,201,68,12,1
广州,2015,67.6,120,201,34,10,0
广州,2016,69.89071038251366,112,198,45,9,2
广州,2017,76.43835616438356,71,218,63,10,3
广州,2018,70.13150684931507,105,207,50,3,0
广州,2019,74.48219178082192,90,203,60,12,0
广州,2020,64.37158469945355,148,182,30,5,1
广州,2021,64.86575342465754,136,187,38,4,0
