Date,PM2.5,PM10,NO2,NOx,CO,SO2,O3,temp,max_temp,min_temp,humid,visible
2016-01-01,56.4,95.08,51.73,34.31,0.69,7.44,55.96,20.1,28.4,15.7,54.0,6.0
2016-01-02,53.69,93.92,73.09,54.77,0.76,8.67,34.06,20.8,28.3,12.9,45.0,6.3
2016-01-03,62.35,99.34,77.77,55.6,0.96,9.1,47.62,21.4,29.0,13.7,45.0,6.3
2016-01-04,64.96,104.62,77.07,50.81,0.89,8.87,50.62,21.5,29.0,15.2,47.0,6.9
2016-01-05,70.15,105.12,79.43,56.05,0.85,9.41,36.94,20.9,28.4,14.7,51.0,6.3
2016-01-06,68.22,91.74,68.5,55.38,0.93,14.23,45.98,21.7,28.7,15.4,54.0,6.0
2016-01-07,68.74,74.3,53.25,58.6,0.79,23.65,23.19,21.0,28.7,17.0,65.0,6.3
2016-01-08,67.9,62.77,51.09,60.65,0.66,14.17,8.59,20.4,27.6,16.2,61.0,5.5
2016-01-09,79.8,74.11,64.04,86.73,0.79,14.65,10.66,20.7,28.4,15.1,47.0,6.3
2016-01-10,76.18,63.19,46.46,52.1,0.8,15.02,14.39,20.9,28.4,15.3,46.0,5.3
2016-01-11,61.48,53.24,39.43,62.48,0.78,11.53,19.51,20.9,28.1,15.0,51.0,6.9
2016-01-12,73.5,106.62,39.55,27.55,1.3,4.65,21.45,21.3,28.5,15.2,49.0,6.3
2016-01-13,70.78,160.0,55.91,37.72,1.02,10.59,24.48,20.3,28.5,15.7,51.0,6.3
2016-01-14,75.01,172.02,70.58,49.75,0.84,13.99,22.94,21.1,27.2,15.0,51.0,6.3
2016-01-15,42.84,160.87,50.76,34.73,0.78,17.8,25.71,20.6,28.2,15.2,58.0,6.3
2016-01-16,77.23,235.32,83.2,94.37,1.02,15.22,22.72,21.4,27.5,15.4,56.0,6.3
2016-01-17,68.98,149.82,110.24,147.06,0.78,14.5,17.73,21.2,28.7,16.0,61.0,5.5
2016-01-18,73.89,133.08,77.38,110.35,0.97,18.94,20.92,21.9,29.0,16.2,67.0,6.3
2016-01-19,75.45,113.92,72.62,71.08,0.98,24.0,23.09,21.4,28.4,17.8,73.0,4.8
2016-01-20,78.07,122.54,45.06,55.6,0.97,24.02,17.64,21.2,25.9,19.4,88.0,4.0
2016-01-21,53.45,62.27,34.63,50.76,0.93,18.54,20.57,22.6,27.4,19.0,78.0,5.3
2016-01-22,63.58,150.78,41.69,57.18,1.15,13.94,22.0,21.1,28.7,18.2,77.0,5.5
2016-01-23,57.91,133.63,29.72,40.25,1.08,11.77,11.02,21.6,25.3,18.5,76.0,6.3
2016-01-24,41.36,92.58,35.97,35.05,0.99,5.66,15.4,22.1,26.9,18.5,73.0,6.3
2016-01-25,51.7,121.42,51.13,35.03,1.23,7.78,18.12,22.9,29.2,18.5,70.0,5.5
2016-01-26,54.34,108.47,45.69,28.2,1.04,8.68,26.95,23.1,28.9,18.9,68.0,6.3
2016-01-27,54.33,76.37,41.42,32.76,1.05,8.73,17.6,23.4,29.3,19.0,66.0,4.8
2016-01-28,84.84,50.03,36.42,34.42,1.16,2.96,17.21,23.8,30.4,17.7,55.0,6.9
2016-01-29,87.02,83.23,36.39,23.82,1.12,3.02,26.32,23.7,31.6,17.9,56.0,6.3
2016-01-30,71.42,130.22,37.09,25.13,1.21,4.28,23.31,22.8,30.7,17.1,50.0,6.3
2016-01-31,119.16,218.27,48.59,36.49,1.32,6.07,23.3,23.1,30.7,16.4,43.0,6.3
2016-02-01,84.45,158.01,55.88,40.35,1.85,6.34,17.17,23.3,31.4,16.4,36.0,6.9
2016-02-02,76.8,159.14,55.92,41.2,1.39,5.9,15.86,23.7,31.9,16.3,35.0,6.9
2016-02-03,75.57,193.59,62.78,41.28,1.9,5.54,25.77,23.6,32.2,16.2,44.0,6.3
2016-02-04,74.6,152.36,49.76,32.57,1.6,5.13,28.21,23.4,31.2,17.3,42.0,6.9
2016-02-05,72.11,121.86,49.34,31.63,1.37,4.07,31.13,23.6,30.7,16.7,42.0,6.9
2016-02-06,63.42,169.11,45.84,25.16,1.81,3.74,32.4,22.8,29.8,16.6,55.0,6.0
2016-02-07,82.78,351.51,84.52,35.82,3.28,2.76,37.66,23.2,31.2,17.3,61.0,5.6
2016-02-08,75.98,154.26,46.99,21.56,1.59,3.49,31.18,25.2,30.5,19.2,50.0,6.9
2016-02-09,85.33,223.57,59.41,30.85,2.19,9.71,35.63,24.3,31.7,18.6,50.0,6.3
2016-02-10,84.32,256.75,46.66,26.54,2.2,14.25,49.77,24.6,31.6,18.3,48.0,7.7
2016-02-11,91.95,190.47,45.44,25.01,2.06,23.66,58.94,24.9,32.4,19.8,49.0,6.3
2016-02-12,83.66,164.48,49.77,26.13,1.7,5.25,67.3,24.7,32.4,19.6,49.0,6.3
2016-02-13,85.96,146.45,56.54,33.17,1.69,4.73,63.27,24.8,31.9,19.5,49.0,5.5
2016-02-14,62.08,113.87,43.41,39.5,1.46,3.14,57.1,24.0,32.1,19.0,48.0,6.3
2016-02-15,56.57,100.3,35.08,33.68,1.73,4.27,37.83,23.1,31.2,17.3,54.0,6.6
2016-02-16,42.58,108.68,23.5,19.24,1.51,3.45,31.32,23.9,29.8,18.7,53.0,7.7
2016-02-17,49.6,145.32,24.34,19.72,1.66,4.46,25.02,23.5,31.1,18.4,52.0,6.9
2016-02-18,54.56,138.17,19.86,17.74,1.51,4.12,29.33,23.3,30.5,19.3,63.0,6.9
2016-02-19,44.26,146.23,26.16,20.93,1.51,3.9,42.53,24.8,29.9,18.0,44.0,6.9
2016-02-20,53.12,116.89,30.94,22.89,1.47,3.2,36.37,26.2,32.5,19.6,50.0,6.9
2016-02-21,57.32,107.54,34.98,25.44,1.45,2.88,49.63,26.9,33.2,20.2,50.0,7.4
2016-02-22,90.07,127.67,32.23,22.31,1.57,3.26,38.32,27.8,34.6,21.1,39.0,6.6
2016-02-23,134.69,142.12,32.14,20.48,1.12,2.99,42.23,25.9,35.5,18.9,44.0,6.3
2016-02-24,110.05,100.07,38.67,25.42,0.94,4.85,59.43,25.9,34.2,20.5,51.0,6.3
2016-02-25,66.98,100.6,37.3,25.34,0.73,6.91,64.9,26.4,33.4,22.3,59.0,5.5
2016-02-26,51.96,102.39,28.51,22.43,0.94,5.29,37.26,24.9,33.5,20.5,58.0,6.3
2016-02-27,36.28,98.29,41.88,27.18,0.81,3.09,30.33,24.9,31.3,18.7,51.0,6.9
2016-02-28,35.63,115.9,47.36,24.09,0.79,3.52,29.08,24.3,31.8,19.9,58.0,6.9
2016-02-29,41.64,144.04,30.64,23.56,1.01,3.16,39.28,24.2,31.2,19.7,58.0,6.3
2016-03-01,39.21,154.64,42.55,51.48,0.84,3.5,37.68,24.6,30.7,18.9,55.0,6.9
2016-03-02,42.17,134.78,33.44,29.43,0.56,2.24,31.99,24.6,31.5,19.7,52.0,6.9
2016-03-03,54.91,148.57,31.09,18.25,0.58,1.91,49.42,25.3,31.7,19.6,49.0,6.3
2016-03-04,54.04,137.04,38.09,25.03,0.62,2.45,42.21,25.6,32.8,18.4,37.0,6.3
2016-03-05,55.72,132.73,31.96,18.66,1.68,2.36,38.54,25.5,34.0,18.8,45.0,6.3
2016-03-06,45.98,120.86,22.73,12.1,0.77,2.12,49.65,25.6,33.4,18.7,45.0,6.3
2016-03-07,43.69,120.32,24.23,13.82,0.58,2.05,45.07,25.4,33.4,18.7,46.0,6.9
2016-03-08,44.74,122.4,41.83,24.9,1.41,2.82,49.67,25.7,33.2,18.8,43.0,6.3
2016-03-09,51.06,150.19,47.14,30.04,0.97,4.02,38.62,26.7,34.3,19.5,44.0,6.9
2016-03-10,53.1,161.1,43.2,34.09,1.51,3.14,35.52,26.6,34.9,20.6,46.0,6.9
2016-03-11,60.7,173.24,36.11,33.16,1.03,3.61,40.0,27.2,34.3,21.1,46.0,6.9
